ID,sid,季度,股本(億),財報評分,季度股價(元)收盤,季度股價(元)平均,季度股價(元)漲跌,季度股價(元)漲跌(%),獲利金額(億)營業收入,獲利金額(億)營業毛利,獲利金額(億)營業利益,獲利金額(億)業外損益,獲利金額(億)稅後淨利,獲利率(%)營業毛利,獲利率(%)營業利益,獲利率(%)業外損益,獲利率(%)稅後淨利,單季ROE(%),年估ROE(%),單季ROA(%),年估ROA(%),EPS(元)稅後EPS,EPS(元)年增(元),BPS(元)
0,1101,2021Q1,-,-,40.55,41.6,-2.65,-6.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,1101,2020Q4,-,-,43.2,42,+1.8,+4.3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,1101,2020Q3,574,64,41.4,43.8,-1.35,-3.2,298,106,90.5,16.3,74.7,35.4,30.4,5.45,28.8,4.25,17,2.25,8.99,1.28,+0.08,32.61
3,1101,2020Q2,547,68,42.75,42.4,+3.25,+8.2,305,109,93.2,14.8,79.3,35.7,30.6,4.86,28.4,4.28,17.1,2.32,9.3,1.41,-0.01,32.38
4,1101,2020Q1,567,51,39.5,41.8,-4.2,-9.6,220,57.8,44.6,2.74,30,26.3,20.3,1.25,15.8,1.67,6.7,0.96,3.83,0.55,-0.22,33.97
5,1101,2019Q4,547,53,43.7,41.4,+4.05,+10.2,352,104,92.6,-4.88,64.9,29.5,26.3,-1.39,18.6,3.22,12.9,1.8,7.22,1.19,+0.11,34.23
6,1101,2019Q3,547,60,39.65,41.7,-6.4,-13.9,308,97.2,81.2,8.04,65.4,31.5,26.3,2.61,22.8,3.55,14.2,1.93,7.7,1.2,0,32.47
7,1101,2019Q2,511,62,46.05,42.9,+4.8,+11.6,314,93.2,77.4,15.9,72.3,29.7,24.7,5.07,24.3,3.74,14.9,2.07,8.26,1.42,-0.09,34.71
8,1101,2019Q1,531,49,41.25,37.6,+5.65,+15.9,254,64.9,50.3,5.71,39.5,25.6,19.8,2.25,16.7,2.08,8.3,1.19,4.77,0.77,+0.08,36.57
9,1101,2018Q4,511,53,35.6,36.1,-5.5,-13.4,349,89.3,72,5.64,52.4,25.6,20.6,1.62,16.1,2.93,11.7,1.72,6.88,1.08,+0.37,34.2
10,1101,2018Q3,511,57,41.1,41.5,-1.25,-3,322,86.1,73.5,9.89,59.3,26.8,22.8,3.07,20.1,3.67,14.7,2.09,8.36,1.2,+0.67,33.34
11,1101,2018Q2,425,60,42.35,42.2,+5.8,+15.9,333,103,89.8,8.44,70.6,30.8,26.9,2.53,23.1,4.65,18.6,2.6,10.4,1.51,+0.93,35.67
12,1101,2018Q1,425,43,36.55,37.2,+0.1,+0.3,242,57.9,46.5,-0.33,29.5,23.9,19.2,-0.14,11.9,1.8,7.2,1.03,4.13,0.69,+0.46,35.26
13,1101,2017Q4,425,47,36.45,34.1,+2.65,+7.8,294,63.9,47.1,-1.17,26.5,21.8,16.1,-0.4,11.6,2.23,8.9,1.26,5.02,0.71,+0.22,32.11
14,1101,2017Q3,369,47,33.8,34.7,-1.4,-4,231,42.6,32.5,2.26,19.7,18.5,14.1,0.98,11.7,1.8,7.21,1.01,4.04,0.53,-0.1,30.39
