ID,sid,交易季度,交易日數,開盤,最高,最低,收盤,漲跌,漲跌(%),振幅(%),成交張數千張,成交張數日均,成交金額億元,成交金額日均,法人買賣超(千張)外資,法人買賣超(千張)投信,法人買賣超(千張)自營,法人買賣超(千張)合計,外資持股(%),融資(千張)增減,融資(千張)餘額,融券(千張)增減,融券(千張)餘額,券資比(%)
0,1312,21Q1,23,24.1,24.85,20.4,22.25,-1.5,-6.32,18.7,255,11.1,58.4,2.5,+14.3,-2.78,-1.76,+9.72,33.4,-5.97,22.7,+0.03,1.16,5.1
1,1312,20Q4,63,18.7,24.65,18.4,23.75,+5.15,+27.7,33.6,1378,21.9,312,5,+34,+0.44,-2.13,+32.3,32,+11.8,28.7,+0.31,1.13,3.9
2,1312,20Q3,66,14.6,21.5,13.55,18.6,+4.1,+28.3,54.8,891,13.5,165,2.5,+60.2,+4.24,+0.83,+65.2,28.2,-4.59,16.9,+0.72,0.82,4.8
3,1312,20Q2,60,12.95,15.75,12.8,14.5,+1.6,+12.4,22.9,349,5.8,51.1,0.85,-34.6,+0.73,+0.53,-33.3,22,+4.4,21.5,-0.82,0.1,0.5
4,1312,20Q1,56,18.65,19.5,10.65,12.9,-5.7,-30.6,47.6,261,4.7,41.5,0.74,-20.3,-0.96,-1.92,-23.2,25.6,-5.05,17.1,+0.52,0.91,5.3
5,1312,19Q4,64,18.15,19,17.8,18.6,+0.5,+2.76,6.63,198,3.1,36.3,0.57,-29.9,-0.47,+3.56,-26.8,27.8,+3.74,22.1,+0.16,0.4,1.8
6,1312,19Q3,63,20.75,21.5,17.6,18.1,-2.4,-11.7,19,302,4.8,59.1,0.94,-40.3,-1.59,+1.15,-40.7,31,+1.78,18.4,+0.19,0.24,1.3
7,1312,19Q2,61,24.1,25.2,19.7,20.5,-3.45,-14.4,23,321,5.3,70.3,1.2,-37.4,-3.06,+13.7,-26.8,35.4,+0.09,16.6,-0.3,0.05,0.3
8,1312,19Q1,54,22.1,25.35,20.85,23.95,+2.1,+9.61,20.6,278,5.1,66.3,1.2,-11.7,0,+16.8,+5.08,38.5,+3.54,16.5,-0.58,0.35,2.1
9,1312,18Q4,65,30.1,30.5,19.45,21.85,-8.55,-28.1,36.3,397,6.1,91.1,1.4,-68.5,-9.02,+14.3,-63.2,39.7,-0.01,12.9,-1.28,0.93,7.2
10,1312,18Q3,64,29.45,31.7,26.6,30.4,+1.1,+3.75,17.4,385,6,113,1.8,-19.1,+4.95,-23,-37.2,47.1,+0.76,12.9,+1.52,2.2,17.1
11,1312,18Q2,60,30.75,35.15,28.1,29.3,-1.3,-4.25,23,559,9.3,178,3,+10.2,-1.43,-3.47,+5.28,49.2,+0.04,12.1,-0.62,0.68,5.6
12,1312,18Q1,58,31.5,32.1,25.7,30.6,-0.85,-2.7,20.3,624,10.8,185,3.2,-3.07,-15.3,-8.15,-26.5,48,-9.98,12.1,-1.73,1.3,10.7
13,1312,17Q4,62,23.35,33.35,22.1,31.45,+8.1,+34.7,48.2,846,13.6,235,3.8,+3.27,+3.24,+3.72,+10.2,48.4,+9.85,22.1,+2.08,3.03,13.7
14,1312,17Q3,66,21.35,27.45,20.7,23.35,+2.15,+10.1,31.8,724,11,173,2.6,+90.8,+15.9,-0.08,+107,48,-6.26,12.2,+0.49,0.95,7.8
15,1312,17Q2,61,21.35,22.05,18.6,21.2,+0.1,+0.47,16.4,330,5.4,67.2,1.1,+7.79,-12.9,-3.78,-8.92,38.3,-2.25,18.5,-2.2,0.46,2.5
16,1312,17Q1,57,21.15,24.1,19.4,21.1,+0.1,+0.48,22.4,577,10.1,126,2.2,-25,+4.75,-1.23,-21.5,37.4,+3.33,20.7,+0.14,2.66,12.8
17,1312,16Q4,64,15.9,23.3,15.85,21,+5.2,+32.9,47.2,650,10.1,130,2,+112,+10.9,+3.35,+126,40.1,+3.53,17.4,+1.85,2.52,14.5
18,1312,16Q3,62,15.4,17.5,15.1,15.8,+0.25,+1.61,15.4,257,4.2,41.5,0.67,+19.1,-1.09,+0.75,+18.8,28.1,-0.56,13.9,+0.59,0.67,4.8
19,1312,16Q2,61,17.4,18.2,14.8,15.55,-1.75,-10.1,19.7,293,4.8,47.9,0.79,+34.3,-21.3,-1.98,+10.9,26,-0.67,14.5,-0.27,0.07,0.5
20,1312,16Q1,57,15.5,18.45,13.4,17.3,+1.8,+11.6,32.6,393,6.9,63.9,1.1,+13.1,-12.2,-0.21,+0.66,22.2,+1.08,15.1,-0.74,0.34,2.3
21,1312,15Q4,65,15.15,16.7,12.8,15.5,+0.45,+2.99,25.9,332,5.1,50.1,0.77,-48.8,+0.35,+2.51,-45.9,21,+5.01,14,-0.26,1.09,7.7
22,1312,15Q3,63,19.8,19.9,13.9,15.05,-4.7,-23.8,30.4,248,3.9,41.7,0.66,-18.5,-18.5,-4.19,-41.2,26.1,-4.7,9.03,+0.6,1.34,14.9
23,1312,15Q2,61,17.65,21.8,17.6,19.75,+2.05,+11.6,23.7,539,8.8,107,1.8,+80,+0.89,+0.93,+81.8,28.1,-5.77,13.7,-0.17,0.74,5.4
24,1312,15Q1,55,17,18.85,16.3,17.7,+0.75,+4.42,15,246,4.5,43.3,0.79,-2.55,+9.41,-4.1,+2.77,19.4,-0.91,19.5,-1.84,0.91,4.7
25,1312,14Q4,66,13.5,18.1,11.9,16.95,+3.2,+23.3,45.1,299,4.5,46.1,0.7,-2.14,+21.2,+5.92,+25,19.9,-5.48,20.4,+1.74,2.75,13.5
26,1312,14Q3,64,18.8,18.8,13.4,13.75,-4.95,-26.5,28.9,189,2.9,30.7,0.48,-16.4,+0.09,+1.65,-14.7,20.1,-1.94,25.9,+0.52,1.01,3.9
27,1312,14Q2,62,18.55,20.5,18.15,18.7,+0.2,+1.08,12.7,437,7.1,84.6,1.4,+16.5,-12.6,+0.02,+3.99,21.7,-7.85,27.8,-1.31,0.49,1.8
28,1312,14Q1,56,23.15,24.55,17.3,18.5,-4.65,-20.1,31.3,538,9.6,108,1.9,-118,-39.6,+21.6,-136,20.3,+17.6,35.7,-1.98,1.8,5.1
29,1312,13Q4,65,21.2,25.7,20.65,23.15,+2.15,+10.2,24,661,10.2,153,2.4,+35.4,+29,-1.65,+62.8,32.8,-7.49,18.1,+1.65,3.78,21
30,1312,13Q3,64,17.5,21.4,17.5,21,+3.5,+20,22.3,626,9.8,123,1.9,+82.1,+9.14,+2.26,+93.5,28.9,+4.12,25.5,+1.38,2.14,8.4
31,1312,13Q2,61,15.25,18.8,14.6,17.5,+2.35,+15.5,27.7,306,5,51.8,0.85,+30.8,+27.3,+0.47,+58.6,20,+1.8,21.4,+0.76,0.76,3.5
32,1312,13Q1,56,15.45,16.65,14.8,15.15,-0.15,-0.98,12.1,200,3.6,31.2,0.56,-29.6,-11.4,+1.68,-39.4,16.7,-8.05,19.6,-0.62,0,0
33,1312,12Q4,65,16,16.2,14.1,15.3,-0.65,-4.08,13.2,238,3.7,35.9,0.55,-4.8,-4.17,+1.52,-7.45,19.9,-0.52,27.7,-0.57,0.62,2.2
