sid,單季,負債總額,負債總額百分比,每股淨值(元),股東權益總額
1477,2020Q3,73.04,43.3,43.1,95.47
1477,2020Q2,73.35,45.4,39.7,88.15
1477,2020Q1,49.33,33.8,43.43,96.5
1477,2019Q4,55.56,37.7,41.37,91.98
1477,2019Q3,55.82,38.5,40.02,89
1477,2019Q2,67.9,45.1,39,82.59
1477,2019Q1,46.14,33,44.29,93.74
1477,2018Q4,47.8,35,41.87,88.81
1477,2018Q3,42.47,33.5,39.77,84.36
1477,2018Q2,58.24,42.5,37.1,78.7
1477,2018Q1,35.28,28.7,41.28,87.45
1477,2017Q4,40.63,32.3,40.11,85.04
1477,2017Q3,39.97,32.6,39.04,82.8
1477,2017Q2,55.74,42.1,36.47,76.59
1477,2017Q1,37.44,29.7,42.06,88.44
1477,2016Q4,44.08,33.6,41.56,87.28
1477,2016Q3,32.95,28,40.33,84.69
1477,2016Q2,57.54,41.5,40.24,81.28
1477,2016Q1,33.72,25.9,48.29,96.63
1477,2015Q4,44.43,32.8,45.56,91.12
1477,2015Q3,52.47,37.8,43.32,86.49
1477,2015Q2,65.05,45.6,40.35,77.69
1477,2015Q1,40.28,31.4,45.9,87.97
1477,2014Q4,38.32,31.9,42.98,81.62
1477,2014Q3,43.99,36.6,40.16,76.14
1477,2014Q2,74.26,60.3,28.82,48.94
1477,2014Q1,48.24,45.2,34.6,58.56
1477,2013Q4,47.65,47.2,31.34,53.3
1477,2013Q3,33.16,40,29.32,49.7
1477,2013Q2,48.48,51.4,27.18,45.86
1477,2013Q1,29.62,36.4,31.03,51.84
1477,2012Q4,34.98,42.8,28.19,46.76
1477,2012Q3,34.26,43.5,26.99,44.56
1477,2012Q2,46.44,53.2,24.85,40.82
1477,2012Q1,26.3,35.7,29.04,47.35
1477,2011Q4,30.97,41.2,27.1,44.17
1477,2011Q3,32.03,43.6,25.53,41.47
1477,2011Q2,37.92,51.1,22.51,36.25
1477,2011Q1,24.18,36.9,25.82,41.28
1477,2010Q4,25.78,40.5,23.87,37.95
1477,2010Q3,31.84,45.6,23.99,37.93
1477,2010Q2,40.25,54.1,22,34.16
1477,2010Q1,25.62,39.5,25.42,39.23
1477,2009Q4,27.36,43.1,23.51,36.11
1477,2009Q3,30.39,47.5,21.92,33.56
1477,2009Q2,29.96,49.1,20.43,31.05
1477,2009Q1,20.78,39.3,21.15,32.13
1477,2008Q4,16.92,36.4,19.44,29.51
1477,2008Q3,26.78,47,19.86,30.15
1477,2008Q2,31.85,54.5,18.08,26.63
1477,2008Q1,23.74,40.4,23.89,34.97
1477,2007Q4,24.75,42.2,23.65,33.94
1477,2007Q2,33.15,54.1,20.83,28.1
1477,2006Q4,22.86,44.8,21.42,28.22
1477,2006Q2,29.74,58.7,16.71,20.94
1477,2005Q4,21.61,49.7,17.79,21.86
1477,2005Q2,29.88,62.8,15.24,17.69
1477,2004Q4,17.13,46.9,16.73,19.39
1477,2003Q4,14.32,45.1,17.88,17.42
1477,2002Q4,12.19,45.1,18.42,14.82
1477,2001Q4,8.22,40,19.94,12.34
