ID,sid,股利發放年度,股利所屬盈餘期間,股東會日期,除息交易日,除息參考價,填息完成日,填息花費日數,現金股利發放日,除權交易日,除權參考價,填權完成日,填權花費日數,現金股利盈餘,現金股利公積,現金股利合計,股票股利盈餘,股票股利公積,股票股利合計,股利合計
0,2227,2020,2019全年,20'06/19,20'08/12,259.5,,,20'09/23,,,,,21.27,0,21.27,0,0,0,21.27
1,2227,2019,2018全年,19'06/28,19'08/21,252.5,19'11/18,60,19'09/20,,,,,17.67,0,17.67,0,0,0,17.67
2,2227,2018,2017全年,18'06/21,18'08/21,244.5,19'05/02,168,18'09/20,,,,,20,1,21,0,0,0,21
3,2227,2017,2016全年,17'06/26,17'08/23,261,19'05/30,433,17'09/20,,,,,22,0,22,0,0,0,22
4,2227,2016,2015全年,16'06/30,16'08/25,206,17'04/18,155,16'09/30,,,,,12.5,0,12.5,0,0,0,12.5
5,2227,2015,2014全年,15'06/30,15'08/27,230,15'10/12,30,15'09/29,,,,,30,0,30,0,0,0,30
6,2227,2014,2013全年,14'06/23,14'07/30,387,,,,,,,,19.47,0,19.47,0,0,0,19.47
7,2227,2013,2012全年,13'06/14,13'07/04,257.5,13'07/05,2,,,,,,13.3,0,13.3,0,0,0,13.3
8,2227,2012,2011全年,12'06/13,12'07/05,244,12'08/01,20,,,,,,10.2,0,10.2,0,0,0,10.2
9,2227,2011,2010全年,11'06/23,11'07/14,135,11'07/18,3,,,,,,5.6,0,5.6,0,0,0,5.6
10,2227,2010,2009全年,10'06/21,,,,,,,,,,0,0,0,0,0,0,0
11,2227,2009,2008全年,09'06/22,,,,,,,,,,0,0,0,0,0,0,0
12,2227,2008,2007全年,08'06/20,08'07/09,35.45,08'07/14,4,,,,,,1.7,0,1.7,0,0,0,1.7
13,2227,2007,2006全年,07'06/22,07'07/11,79.9,10'04/08,683,,,,,,3.1,0,3.1,0,0,0,3.1
14,2227,2006,2005全年,06'06/16,06'07/06,112.5,10'09/16,1048,,,,,,7.3,0,7.3,0,0,0,7.3
15,2227,2005,2004全年,05'06/17,05'07/11,103.5,05'07/22,9,,,,,,6.3,0,6.3,0,0,0,6.3
