ID,sid,季度,股本(億),財報評分,季度股價(元)收盤,季度股價(元)平均,季度股價(元)漲跌,季度股價(元)漲跌(%),獲利金額(億)營業收入,獲利金額(億)營業毛利,獲利金額(億)營業利益,獲利金額(億)業外損益,獲利金額(億)稅後淨利,獲利率(%)營業毛利,獲利率(%)營業利益,獲利率(%)業外損益,獲利率(%)稅後淨利,單季ROE(%),年估ROE(%),單季ROA(%),年估ROA(%),EPS(元)稅後EPS,EPS(元)年增(元),BPS(元)
0,2881,2021Q1,-,-,51.7,47.5,+4.95,+10.6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,2881,2020Q4,-,-,46.75,43.9,+4.85,+11.6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,2881,2020Q3,1023,50,41.9,42.4,0,0,1253,-,-,-,309,-,-,-,24.7,4.84,19.4,0.35,1.39,2.89,+0.6,57.32
3,2881,2020Q2,1023,44,43.9,41.6,+6.35,+16.9,1115,-,-,-,143,-,-,-,12.8,2.55,10.2,0.16,0.66,1.29,-0.19,51.82
4,2881,2020Q1,1023,41,37.55,43.5,-8.85,-19.1,1333,-,-,-,230,-,-,-,17.4,4.09,16.3,0.27,1.08,2.24,+1.02,43.77
5,2881,2019Q4,1023,41,46.4,45.5,+1.85,+4.2,1056,-,-,-,47.9,-,-,-,5.25,0.91,3.65,0.07,0.26,0.45,+0.68,52.85
6,2881,2019Q3,1023,44,44.55,43.8,-1.3,-2.8,1480,-,-,-,260,-,-,-,17.7,4.53,18.1,0.32,1.28,2.29,+0.43,50.59
7,2881,2019Q2,1023,41,45.85,44.4,-0.15,-0.3,846,-,-,-,152,-,-,-,18,2.73,10.9,0.19,0.76,1.48,+0.18,48.18
8,2881,2019Q1,1023,41,46,45.2,-1.05,-2.2,1097,-,-,-,125,-,-,-,11.5,2.47,9.89,0.16,0.65,1.22,-0.38,46.76
9,2881,2018Q4,1023,28,47.05,49.2,-4.75,-9.2,819,-,-,-,-24.7,-,-,-,-2.98,-0.49,-1.97,-0.03,-0.13,-0.23,-1.18,39.93
10,2881,2018Q3,1023,44,51.8,50.4,+0.7,+1.4,1212,-,-,-,190,-,-,-,15.7,3.69,14.8,0.26,1.03,1.86,-0.64,44.8
11,2881,2018Q2,1023,41,51.1,51.8,+0.9,+1.8,958,-,-,-,148,-,-,-,15.4,2.86,11.4,0.21,0.83,1.3,+0.54,43.96
12,2881,2018Q1,1023,41,50.2,51.9,-0.5,-1,1121,-,-,-,164,-,-,-,14.6,3.23,12.9,0.24,0.94,1.6,+0.63,45.69
13,2881,2017Q4,1023,34,50.7,49,+3.5,+7.4,880,-,-,-,98.6,-,-,-,11.2,2.05,8.19,0.14,0.58,0.95,+0.16,45.08
14,2881,2017Q3,1023,44,47.2,47.3,+0.75,+1.6,1089,-,-,-,256,-,-,-,23.4,5.56,22.2,0.38,1.54,2.5,+0.88,43.52
15,2881,2017Q2,1023,28,48.45,47.3,-1.05,-2.1,964,-,-,-,88.1,-,-,-,9.13,1.99,7.96,0.14,0.54,0.76,-0.7,41.27
16,2881,2017Q1,1023,28,49.5,51.1,-1.5,-2.9,1128,-,-,-,98.8,-,-,-,8.73,2.28,9.12,0.15,0.62,0.97,+0.11,40.27
17,2881,2016Q4,1023,28,51,47.9,+4.7,+10.2,990,-,-,-,80.9,-,-,-,8.16,1.79,7.18,0.13,0.51,0.79,+0.26,39.4
18,2881,2016Q3,1023,38,46.3,41.9,+8.65,+23,1122,-,-,-,166,-,-,-,14.8,3.61,14.5,0.27,1.07,1.62,+0.05,42.95
19,2881,2016Q2,1023,34,37.65,38.5,-3.35,-8.2,1190,-,-,-,149,-,-,-,12.6,3.52,14.1,0.25,0.99,1.46,-0.69,40.34
20,2881,2016Q1,1023,31,41,39,-4,-8.9,1087,-,-,-,87.7,-,-,-,8.18,2.27,9.08,0.15,0.59,0.86,-1.1,38.95
21,2881,2015Q4,1023,34,45,51.3,-6.3,-12.3,1117,-,-,-,54.5,-,-,-,4.89,1.48,5.9,0.09,0.37,0.53,-0.12,35.92
22,2881,2015Q3,1023,41,51.3,55.8,-10.1,-16.4,1303,-,-,-,161,-,-,-,12.4,4.28,17.1,0.28,1.13,1.57,-0.89,34.74
23,2881,2015Q2,1023,47,61.4,62.3,+5.2,+9.3,1004,-,-,-,220,-,-,-,21.9,5.25,21,0.4,1.58,2.15,+0.71,37.49
24,2881,2015Q1,1023,44,56.2,53.3,+5.5,+10.8,878,-,-,-,201,-,-,-,22.9,4.66,18.7,0.37,1.47,1.96,+0.62,42.97
25,2881,2014Q4,1023,31,50.7,49.6,+4,+8.6,880,-,-,-,66.7,-,-,-,7.62,1.69,6.75,0.13,0.5,0.65,-0.2,39.87
26,2881,2014Q3,1023,47,46.7,47.4,+3.55,+8.2,1120,-,-,-,251,-,-,-,22.5,6.51,26.1,0.49,1.95,2.46,+1.57,36.26
27,2881,2014Q2,1023,38,43.15,41.6,+1.85,+4.5,842,-,-,-,147,-,-,-,17.6,3.82,15.3,0.29,1.16,1.44,+0.63,35.2
28,2881,2014Q1,1023,38,41.3,42.2,-2.3,-5.3,976,-,-,-,137,-,-,-,14.1,3.82,15.3,0.29,1.14,1.34,+0.28,34.01
29,2881,2013Q4,1023,41,43.6,42.1,+2.7,+6.6,956,-,-,-,84,-,-,-,8.75,2.51,10,0.19,0.74,0.85,+0.2,30.92
30,2881,2013Q3,1023,34,40.9,40.6,+1.05,+2.6,1020,-,-,-,90.9,-,-,-,8.9,2.99,11.9,0.21,0.83,0.89,-0.39,29.48
31,2881,2013Q2,954,38,40.85,40.7,-1.95,-4.6,933,-,-,-,77.5,-,-,-,8.31,2.63,10.5,0.18,0.72,0.81,+0.39,29.68
32,2881,2013Q1,954,38,42.8,39.1,+7.7,+21.9,861,-,-,-,101,-,-,-,11.8,3.32,13.3,0.24,0.97,1.06,+0.28,32.04
33,2881,2012Q4,953,34,35.1,32.2,+3.2,+10,699,-,-,-,61.5,-,-,-,8.79,2.03,8.13,0.15,0.6,0.65,+0.75,32.05
