ID,sid,股利發放年度,股利所屬盈餘期間,股東會日期,除息交易日,除息參考價,填息完成日,填息花費日數,現金股利發放日,除權交易日,除權參考價,填權完成日,填權花費日數,現金股利盈餘,現金股利公積,現金股利合計,股票股利盈餘,股票股利公積,股票股利合計,股利合計
0,1721,2020,2019全年,20'06/11,,,,,,,,,,0,0,0,0,0,0,0
1,1721,2019,2018全年,19'06/13,,,,,,,,,,0,0,0,0,0,0,0
2,1721,2018,2017全年,18'06/13,18'07/17,10,18'07/17,1,18'08/14,,,,,0.2,0,0.2,0,0,0,0.2
3,1721,2017,2016全年,17'06/15,17'07/17,13.65,17'12/21,112,17'08/14,,,,,0.7,0,0.7,0,0,0,0.7
4,1721,2016,2015全年,16'06/03,,,,,,,,,,0,0,0,0,0,0,0
5,1721,2015,2014全年,15'04/28,,,,,,,,,,0,0,0,0,0,0,0
6,1721,2014,2013全年,14'06/26,,,,,,,,,,0,0,0,0,0,0,0
7,1721,2013,2012全年,13'06/24,,,,,,,,,,0,0,0,0,0,0,0
8,1721,2012,2011全年,12'06/14,,,,,,,,,,0,0,0,0,0,0,0
9,1721,2011,2010全年,11'06/30,,,,,,,,,,0,0,0,0,0,0,0
10,1721,2010,2009全年,10'06/04,,,,,,,,,,0,0,0,0,0,0,0
11,1721,2009,2008全年,09'06/03,,,,,,,,,,0,0,0,0,0,0,0
12,1721,2008,2007全年,08'06/27,,,,,,,,,,0,0,0,0,0,0,0
13,1721,2007,2006全年,07'06/21,,,,,,,,,,0,0,0,0,0,0,0
14,1721,2006,2005全年,06'06/15,,,,,,,,,,0,0,0,0,0,0,0
15,1721,2005,2004全年,05'06/16,,,,,,,,,,0,0,0,0,0,0,0
16,1721,2004,2003全年,04'06/16,,,,,,,,,,0,0,0,0,0,0,0
17,1721,2003,2002全年,03'05/06,,,,,,,,,,0,0,0,0,0,0,0
18,1721,2002,2001全年,02'06/05,,,,,,,,,,0,0,0,0,0,0,0
19,1721,2001,2000全年,01'05/10,,,,,,,,,,0,0,0,0,0,0,0
20,1721,2000,1999全年,,,,,,,,,,,0,0,0,0,0,0,0
21,1721,1999,1998全年,,,,,,,,,,,0,0,0,0,0,0,0
22,1721,1998,1997全年,98'05/29,,,,,,98'08/05,,,,0,0,0,1.5,2,3.5,3.5
23,1721,1997,1996全年,,,,,,,,,,,0,0,0,1.2,0,1.2,1.2
24,1721,1996,1995全年,,,,,,,,,,,0,0,0,1.5,0,1.5,1.5
25,1721,1995,1994全年,95'06/10,,,,,,95'07/20,,,,0.3,0,0.3,1,0,1,1.3
26,1721,1994,1993全年,,,,,,,,,,,0,0,0,1.3,0,1.3,1.3
27,1721,1993,1992全年,,,,,,,,,,,0.3,0,0.3,1.7,0,1.7,2
