ID,sid,交易季度,交易日數,開盤,最高,最低,收盤,漲跌,漲跌(%),振幅(%),成交張數千張,成交張數日均,成交金額億元,成交金額日均,法人買賣超(千張)外資,法人買賣超(千張)投信,法人買賣超(千張)自營,法人買賣超(千張)合計,外資持股(%),融資(千張)增減,融資(千張)餘額,融券(千張)增減,融券(千張)餘額,券資比(%)
0,2243,21Q1,25,12.65,13.8,11,11.15,-1.5,-11.9,22.1,1.44,0.06,0.18,0.007,+0.09,0,0,+0.09,43.8,-0.04,0.53,0,0.01,2.5
1,2243,20Q4,63,11.45,15.5,10.5,12.65,+0.85,+7.2,42.4,10.8,0.17,1.42,0.02,+0.25,0,0,+0.25,43.6,-0.09,0.57,+0.01,0.01,2.5
2,2243,20Q3,66,11.15,15.2,11,11.8,+0.6,+5.36,37.5,7.87,0.12,1.05,0.02,-0.01,0,0,-0.01,43,+0.03,0.66,+0.01,0.01,0.9
3,2243,20Q2,60,8.87,12.95,8.71,11.2,+2.25,+25.1,47.4,3.2,0.05,0.35,0.006,+0.02,0,0,+0.02,43,+0.06,0.63,0,0,0
4,2243,20Q1,56,14.9,18.9,8.03,8.95,-5.55,-38.3,75,4.93,0.09,0.76,0.01,-0.02,0,0,-0.02,42.9,-0.14,0.57,0,0,0
5,2243,19Q4,64,14.75,16,11.5,14.5,-0.75,-4.92,29.5,5.46,0.09,0.74,0.01,+0.01,0,0,+0.01,40.8,-0.25,0.71,+0.01,0.01,1.7
6,2243,19Q3,63,15.8,17.45,13.9,15.25,+0.2,+1.33,23.6,4.5,0.07,0.7,0.01,-0.02,0,0,-0.02,40.8,+0.26,0.96,0,0,0.5
7,2243,19Q2,61,18.75,19.5,14,15.05,-3.7,-19.7,29.3,3.86,0.06,0.65,0.01,,,,,40.9,-0.12,0.69,-0.16,0,0
8,2243,19Q1,54,20.4,23.25,17.05,18.75,-1.55,-7.64,30.5,8.74,0.16,1.81,0.03,0,0,0,0,43,+0.58,0.82,+0.16,0.16,19
9,2243,18Q4,65,19.6,22.7,16.65,20.3,+0.7,+3.57,30.9,2.3,0.04,0.45,0.007,,,,,43,+0.05,0.24,0,0,0
10,2243,18Q3,64,30.8,30.95,19.35,19.6,-11,-36,37.9,1.48,0.02,0.36,0.006,+0.01,0,0,+0.01,43.1,+0.06,0.19,0,0,0
11,2243,18Q2,60,33,42.05,30.4,30.6,-2.4,-7.27,35.3,5.05,0.08,1.76,0.03,+0.01,0,0,+0.01,43.1,+0.13,0.13,0,0,0
12,2243,18Q1,58,45.55,45.85,30,33,-12,-26.7,35.2,2.62,0.05,0.99,0.02,,,,,43,,,,,
13,2243,17Q4,62,48,71.6,42.2,45,-3.8,-7.79,60.2,36.1,0.58,20.7,0.33,-0.69,0,0,-0.69,43.1,,,,,
14,2243,17Q3,4,34,50,33.8,48.8,+15.8,+47.9,49.1,8.56,2.1,3.55,0.89,+0.03,0,0,+0.03,44.8,,,,,
