ID,sid,季度,股本(億),財報評分,季度股價(元)收盤,季度股價(元)平均,季度股價(元)漲跌,季度股價(元)漲跌(%),獲利金額(億)營業收入,獲利金額(億)營業毛利,獲利金額(億)營業利益,獲利金額(億)業外損益,獲利金額(億)稅後淨利,獲利率(%)營業毛利,獲利率(%)營業利益,獲利率(%)業外損益,獲利率(%)稅後淨利,單季ROE(%),年估ROE(%),單季ROA(%),年估ROA(%),EPS(元)稅後EPS,EPS(元)年增(元),BPS(元)
0,2442,2021Q1,-,-,9.99,10.1,-1.51,-13.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,2442,2020Q4,-,-,11.5,10.9,+1.4,+13.9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,2442,2020Q3,24,38,10.1,9.12,+1.8,+21.7,15,2.82,0.84,-0.21,0.69,18.8,5.57,-1.4,3.36,1.11,4.42,0.34,1.36,0.27,+0.4,12.97
3,2442,2020Q2,26.7,36,8.3,7.84,+2,+31.7,9.63,1.26,-0.53,1.13,0.4,13.1,-5.54,11.7,3.4,0.72,2.87,0.23,0.92,0.15,+0.08,12.37
4,2442,2020Q1,26.7,26,6.3,8.99,-4.85,-43.5,8.53,1.01,-0.75,-1.14,-1.52,11.9,-8.76,-13.3,-18.7,-3.5,-14,-1.17,-4.67,-0.58,-1.21,12.22
5,2442,2019Q4,26.4,36,11.15,11.2,-1,-8.2,16.2,2.95,0.82,-0.41,0.52,18.2,5.06,-2.52,2.74,0.96,3.83,0.37,1.47,0.2,-2.81,12.97
6,2442,2019Q3,26.4,30,12.15,13.2,-1,-7.6,10.7,1.49,-0.47,0.35,-0.34,14,-4.42,3.25,-3.82,-0.93,-3.72,-0.43,-1.71,-0.13,-0.54,12.79
7,2442,2019Q2,24,36,13.15,13.9,+0.85,+6.9,11.5,1.49,-0.28,0.61,0.18,13,-2.47,5.31,2.77,0.76,3.03,0.38,1.5,0.07,-0.06,14.19
8,2442,2019Q1,24,60,12.3,12.3,+0.3,+2.5,11,1.77,0.01,3.43,1.51,16.1,0.09,31.1,29.4,7.9,31.6,3.95,15.8,0.63,+0.78,14.64
9,2442,2018Q4,24,62,12,13.8,-3.5,-22.6,39.3,11.3,7.67,-0.35,7.16,28.6,19.5,-0.89,19.3,22.7,90.9,8.92,35.7,3.01,+3.12,14.01
10,2442,2018Q3,24,47,15.5,11,+6.02,+63.5,10.8,2.23,1.03,0.26,1.09,20.7,9.56,2.39,10.7,4.3,17.2,1.39,5.58,0.41,+0.61,11.19
11,2442,2018Q2,24,34,9.48,8.49,+0.93,+10.9,5.97,0.85,-0.07,0.34,0.34,14.3,-1.15,5.63,6.12,1.4,5.59,0.49,1.95,0.13,+0.11,10.74
12,2442,2018Q1,24,28,8.55,8.17,+0.52,+6.5,5.22,0.7,-0.12,-0.31,-0.35,13.5,-2.36,-5.91,-6.93,-1.4,-5.6,-0.5,-1.99,-0.15,-0.08,10.58
13,2442,2017Q4,24,28,8.03,7.74,+0.49,+6.5,6.9,1.01,-0.38,0.27,-0.27,14.6,-5.53,3.92,-3.4,-0.91,-3.66,-0.34,-1.34,-0.11,-0.29,10.16
14,2442,2017Q3,24,26,7.54,7.61,+0.53,+7.6,5.66,0.82,-0.48,0,-0.48,14.4,-8.43,-0.02,-8.32,-1.82,-7.29,-0.75,-2.99,-0.2,-0.39,10.28
15,2442,2017Q2,24,36,7.01,6.86,-0.37,-5,3.86,0.65,-0.22,0.24,0.04,16.7,-5.81,6.21,1.06,0.16,0.63,0.07,0.28,0.02,-0.1,10.44
16,2442,2017Q1,24,30,7.38,7.78,+0.62,+9.2,2.79,0.53,-0.23,0,-0.15,19.1,-8.22,0.08,-5.97,-0.68,-2.73,-0.3,-1.19,-0.07,+0.29,12.47
17,2442,2016Q4,20,36,6.76,6.51,-0.18,-2.6,5.87,0.86,-0.25,0.67,0.37,14.7,-4.31,11.4,6.16,1.61,6.42,0.67,2.67,0.18,+0.12,11.21
18,2442,2016Q3,20,34,6.94,5.99,+1.16,+20.1,4.62,0.75,-0.13,0.54,0.38,16.3,-2.82,11.8,8.14,1.69,6.77,0.72,2.88,0.19,+0.31,11.02
19,2442,2016Q2,19.9,34,5.78,5.78,-0.4,-6.5,4.69,0.93,-0.12,0.39,0.25,19.9,-2.48,8.24,5.26,1.12,4.49,0.47,1.87,0.12,+0.03,10.93
20,2442,2016Q1,19.9,26,6.18,6.25,-0.38,-5.8,4.03,0.83,-0.06,-0.65,-0.73,20.6,-1.51,-16.1,-17.9,-3.24,-13,-1.37,-5.48,-0.36,-0.59,10.85
21,2442,2015Q4,19.9,36,6.56,6.82,-0.28,-4.1,3.23,0.94,-0.12,0.2,0.12,29.2,-3.72,6.34,3.74,0.54,2.16,0.24,0.97,0.06,-0.11,11.18
22,2442,2015Q3,19.6,32,6.84,7.09,-1.65,-19.4,2.99,0.71,0.09,-0.31,-0.24,23.8,3.13,-10.4,-7.24,-0.97,-3.87,-0.45,-1.81,-0.12,-0.51,11.25
23,2442,2015Q2,18.4,38,8.49,9.2,-0.05,-0.6,2.36,0.65,-0.06,0.36,0.17,27.6,-2.56,15.2,7.52,0.8,3.21,0.38,1.51,0.09,+0.07,12.13
