sid,單季,負債總額,負債總額百分比,每股淨值(元),股東權益總額
2886,2020Q3,34471,91.5,23.52,3199
2886,2020Q2,34966,91.8,23.05,3134
2886,2020Q1,33237,91.1,23.88,3248
2886,2019Q4,33595,91.2,23.83,3241
2886,2019Q3,32214,91,23.46,3191
2886,2019Q2,32921,91.3,22.97,3124
2886,2019Q1,32112,90.8,23.88,3248
2886,2018Q4,32278,91.1,23.11,3143
2886,2018Q3,31726,91.1,22.81,3102
2886,2018Q2,32256,91.4,22.22,3022
2886,2018Q1,31762,91,23.16,3150
2886,2017Q4,32492,91.6,21.92,2981
2886,2017Q3,32484,91.6,21.81,2967
2886,2017Q2,30785,91.4,21.23,2887
2886,2017Q1,29747,90.9,22.02,2995
2886,2016Q4,30278,91.2,21.47,2920
2886,2016Q3,30097,91.2,21.45,2917
2886,2016Q2,30601,91.5,20.83,2834
2886,2016Q1,31079,91.2,22.18,3017
2886,2015Q4,31051,91.4,21.57,2935
2886,2015Q3,30369,92.1,21.01,2617
2886,2015Q2,29209,91.9,20.55,2560
2886,2015Q1,31527,92.2,21.49,2677
2886,2014Q4,30097,92,20.97,2609
2886,2014Q3,30830,92.4,20.31,2528
2886,2014Q2,27880,91.9,19.76,2459
2886,2014Q1,28575,91.9,20.14,2506
2886,2013Q4,28720,92.2,19.39,2416
2886,2013Q3,26065,92.4,18.81,2156
2886,2013Q2,25771,92.5,18.24,2092
2886,2013Q1,25027,92,19.02,2181
2886,2012Q4,25165,92.3,18.67,2105
2886,2012Q3,23224,91.7,18.48,2097
2886,2012Q2,23659,92.1,18.24,2033
2886,2012Q1,24777,92.2,18.71,2089
2886,2011Q4,24152,92.2,17.98,2032
2886,2011Q3,22463,91.8,17.73,2004
2886,2011Q2,21004,91.4,17.86,1979
2886,2011Q1,21312,91.2,18.5,2050
2886,2010Q4,23086,92,18.16,2012
2886,2010Q3,21378,91.6,17.73,1967
2886,2010Q2,21031,91.7,17.15,1903
2886,2010Q1,22628,91.9,17.97,1993
2886,2009Q4,23012,92.1,17.69,1963
2886,2009Q3,23778,92.5,17.33,1922
2886,2009Q2,24807,93,16.74,1857
2886,2009Q1,24196,93.1,16.29,1807
2886,2008Q4,22316,92.6,16.05,1780
2886,2008Q3,21628,92.6,15.66,1737
2886,2008Q2,19639,91.6,16.25,1803
2886,2008Q1,21398,91.6,17.65,1959
2886,2007Q4,21191,91.6,17.54,1947
2886,2007Q3,19651,91.1,17.38,1930
2886,2007Q2,19538,91.2,17.03,1890
2886,2007Q1,18909,90.3,18.3,2031
2886,2006Q4,20377,91,18.06,2004
2886,2006Q3,20567,91.3,17.75,1971
2886,2006Q2,19330,91,17.22,1912
2886,2006Q1,19221,90.3,18.68,2073
2886,2005Q4,20114,91.3,17.28,1921
2886,2005Q3,19450,91.3,16.73,1861
2886,2005Q2,18960,91.5,16.05,1753
2886,2005Q1,18184,90.9,17.12,1820
2886,2004Q4,19545,92.2,16.59,1664
2886,2004Q3,18090,92,13.82,1571
2886,2004Q2,18364,92.5,13.16,1496
2886,2004Q1,20151,92.5,14.34,1630
2886,2003Q4,16068,91.1,13.73,1565
2886,2003Q3,16493,91.6,13.23,1512
2886,2003Q2,15176,91.2,13.24,1463
2886,2003Q1,14203,90.7,13.15,1454
2886,2002Q4,15071,91.4,12.9,1425
2886,2002Q3,5832,84.9,17.15,1036
2886,2002Q2,5554,84,20.52,1060
2886,2002Q1,5372,83.4,20.18,1072
