ID,sid,交易季度,交易日數,開盤,最高,最低,收盤,漲跌,漲跌(%),振幅(%),成交張數千張,成交張數日均,成交金額億元,成交金額日均,法人買賣超(千張)外資,法人買賣超(千張)投信,法人買賣超(千張)自營,法人買賣超(千張)合計,外資持股(%),融資(千張)增減,融資(千張)餘額,融券(千張)增減,融券(千張)餘額,券資比(%)
0,1444,21Q1,23,13.4,13.85,10.8,11.8,-1.4,-10.6,23.1,242,10.5,29.5,1.3,+13.7,-0.13,-0.47,+13.1,7.5,-5.77,29.5,-1.42,1.4,4.8
1,1444,20Q4,63,12.05,15.85,11.65,13.2,+1.2,+10,35,2767,43.9,379,6,+7.13,+0.13,-0.65,+6.6,6.7,+4.3,35.2,-1.94,2.83,8
2,1444,20Q3,66,7.48,13.8,6.85,12,+4.52,+60.4,92.9,1983,30,229,3.5,-35.6,0,+0.06,-35.5,5.2,+21.8,30.9,+4.71,4.83,15.6
3,1444,20Q2,60,6.47,8.3,6.28,7.48,+0.98,+15.1,31.1,142,2.4,10.5,0.18,-14.4,0,+0.06,-14.3,8,+2.12,9.04,+0.06,0.11,1.2
4,1444,20Q1,56,9.6,9.86,5.9,6.5,-3.07,-32.1,41.4,79.8,1.4,6.75,0.12,-2.49,0,-0.11,-2.6,9.4,-2.04,6.93,-0.04,0.05,0.7
5,1444,19Q4,64,9.26,10,9.04,9.57,+0.37,+4.02,10.4,89.8,1.4,8.54,0.13,-2.24,0,0,-2.24,9.6,-0.29,8.97,+0.08,0.09,1
6,1444,19Q3,63,9.69,9.74,8.7,9.2,-0.45,-4.66,10.8,53.3,0.85,4.94,0.08,+2.1,-0.31,-1.13,+0.66,10,-4.3,9.26,+0.01,0.01,0.1
7,1444,19Q2,61,10.25,10.35,9.4,9.65,-0.55,-5.39,9.31,97.6,1.6,9.75,0.16,+6.64,+0.1,+0.59,+7.33,9.6,-3.56,13.6,-0.01,0,0
8,1444,19Q1,54,9.91,10.3,9.4,10.2,+0.33,+3.34,9.12,80,1.5,7.96,0.15,-0.17,0,+0.4,+0.23,9.4,-5.46,17.1,-0.1,0.01,0.04
9,1444,18Q4,65,11.05,11.25,9.33,9.87,-1.13,-10.3,17.5,156,2.4,15.8,0.24,-2.64,0,-0.03,-2.66,10.4,-7.46,22.6,+0.04,0.11,0.5
10,1444,18Q3,64,10.8,11.45,9.9,11,+0.25,+2.33,14.4,203,3.2,21.8,0.34,+19.2,-0.29,-0.4,+18.5,10.4,-3.12,30,+0.07,0.07,0.2
11,1444,18Q2,60,11.35,12.5,10.7,10.75,-0.6,-5.29,15.9,296,4.9,34,0.57,+9.7,0,-2.22,+7.48,7.6,-5.45,33.2,-0.78,0,0
12,1444,18Q1,58,11.8,13.7,9.99,11.35,-0.35,-2.99,31.7,665,11.5,81.1,1.4,+5.12,-1.1,+0.13,+4.15,6.8,-10.7,38.6,-0.22,0.78,2
13,1444,17Q4,62,10.45,12.35,10.35,11.7,+1.3,+12.5,19.2,751,12.1,85.9,1.4,+5.98,+1.56,+2.81,+10.4,7.6,+0.55,49.6,+0.38,1.01,2
14,1444,17Q3,66,8.38,12.35,8.26,10.4,+2.05,+24.6,49,1008,15.3,111,1.7,,,,,6.4,+42.6,49,+0.58,0.63,1.3
15,1444,17Q2,61,8.3,8.51,7.31,8.35,+0.04,+0.48,14.4,61.1,1,4.88,0.08,+5.94,+1.06,+0.11,+7.11,9.4,+1.12,6.34,+0.05,0.05,0.7
16,1444,17Q1,57,8.2,9.14,8.16,8.31,+0.07,+0.85,11.9,70.4,1.2,6.06,0.11,+2.47,0,0,+2.48,8.7,-0.92,5.22,-0.02,0,0
17,1444,16Q4,64,8.45,8.73,7.16,8.24,-0.21,-2.49,18.6,64.7,1,5.33,0.08,-2.84,-0.74,+0.09,-3.49,8.4,-1.56,6.14,+0.01,0.02,0.4
18,1444,16Q3,62,8.79,8.84,8.2,8.45,-0.31,-3.54,7.31,50.3,0.81,4.3,0.07,+4.09,-1.14,-0.09,+2.86,8.6,-1.82,7.7,+0.01,0.01,0.2
19,1444,16Q2,61,9.48,9.51,8.51,8.76,-0.72,-7.59,10.5,39.5,0.65,3.53,0.06,+0.24,-0.17,-0.88,-0.81,8.3,-3.11,9.52,0,0,0
20,1444,16Q1,57,9.47,10.1,8.5,9.48,+0.03,+0.32,16.9,84.5,1.5,8.02,0.14,+3.54,+2.04,+0.9,+6.48,8.2,-0.02,12.6,-0.2,0,0
21,1444,15Q4,65,9.01,10.2,8.79,9.45,+0.46,+5.12,15.7,95.5,1.5,8.9,0.14,+5.12,0,-0.1,+5.02,7.9,-2.56,12.7,+0.07,0.2,1.5
22,1444,15Q3,63,10.2,10.3,7.78,8.99,-1.16,-11.4,24.8,95.6,1.5,8.47,0.13,-3.81,0,-1.44,-5.26,7.3,-2.25,15.2,+0.12,0.13,0.8
23,1444,15Q2,61,9.2,11.4,9.16,10.15,+0.95,+10.3,24.3,293,4.8,30.6,0.5,+3.2,-0.04,-0.75,+2.42,7.7,+5.04,17.5,0,0.01,0.04
24,1444,15Q1,55,9.16,9.8,8.95,9.2,+0.05,+0.55,9.29,75.7,1.4,7.09,0.13,-0.34,0,+6.47,+6.12,7.3,+0.14,12.4,-0.06,0,0.02
25,1444,14Q4,66,9.4,9.6,8.2,9.15,-0.25,-2.66,14.9,63.7,0.97,5.62,0.09,-4.53,-0.02,-0.03,-4.58,7.3,-0.21,12.3,-0.18,0.06,0.5
26,1444,14Q3,64,10.65,10.8,8.97,9.4,-1.25,-11.7,17.2,53.9,0.84,5.37,0.08,+2.16,+0.02,-0.16,+2.01,7.7,-0.22,12.5,+0.21,0.23,1.9
27,1444,14Q2,62,10.85,11.1,10.5,10.65,-0.25,-2.29,5.5,58.7,0.95,6.32,0.1,+4.61,-0.13,+0.2,+4.69,7.5,-1.61,12.7,0,0.02,0.2
