ID,sid,季度,股本(億),財報評分,季度股價(元)收盤,季度股價(元)平均,季度股價(元)漲跌,季度股價(元)漲跌(%),獲利金額(億)營業收入,獲利金額(億)營業毛利,獲利金額(億)營業利益,獲利金額(億)業外損益,獲利金額(億)稅後淨利,獲利率(%)營業毛利,獲利率(%)營業利益,獲利率(%)業外損益,獲利率(%)稅後淨利,單季ROE(%),年估ROE(%),單季ROA(%),年估ROA(%),EPS(元)稅後EPS,EPS(元)年增(元),BPS(元)
0,1453,2021Q1,-,-,8.22,8.47,-0.72,-8.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,1453,2020Q4,-,-,8.94,8.66,+0.5,+5.9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,1453,2020Q3,10.1,50,8.44,8.28,+0.39,+4.8,1.73,0.41,0.31,-0.02,0.29,23.8,18.1,-1.21,16.7,2.26,9.03,2.23,8.94,0.28,+0.34,12.75
3,1453,2020Q2,9.86,60,8.05,7.14,+1.7,+26.8,0.26,0.07,0,0.4,0.4,27.8,-0.59,157,156,3.23,12.9,3.15,12.6,0.41,+0.45,12.71
4,1453,2020Q1,9.86,25,6.35,7.71,-1.66,-20.7,0.2,0,-0.07,-0.44,-0.51,1.76,-34.9,-216,-251,-4.11,-16.4,-3.98,-15.9,-0.52,-0.64,12.3
5,1453,2019Q4,9.86,28,8.01,8.08,+0.08,+1,0.44,-0.41,-0.51,-0.06,-0.44,-91.7,-116,-12.5,-100,-3.4,-13.6,-3.31,-13.2,-0.45,-0.22,12.83
6,1453,2019Q3,9.86,34,7.93,8.41,-1.18,-13,0,0,-0.07,-0.02,-0.09,100,-6196,-1496,-7693,-0.64,-2.58,-0.63,-2.52,-0.06,-0.11,13.28
7,1453,2019Q2,8.97,47,9.11,9.15,-0.14,-1.5,0,0,-0.08,0.17,-0.04,35.8,-2841,6428,-1355,-0.27,-1.08,-0.26,-1.06,-0.04,-0.03,14.7
8,1453,2019Q1,8.97,55,9.25,9.26,+0.04,+0.4,0,0,-0.07,0.18,0.11,57.4,-2962,7568,4583,0.82,3.27,0.81,3.22,0.12,-3.82,14.74
9,1453,2018Q4,8.97,30,9.21,8.77,+0.29,+3.3,0.01,0,-0.12,-0.09,-0.21,6.65,-1829,-1354,-3209,-1.59,-6.37,-1.57,-6.29,-0.23,-0.08,14.62
10,1453,2018Q3,8.97,47,8.92,9.05,-0.35,-3.8,0.07,-0.01,-0.09,0.15,0.04,-19.8,-135,211,61.5,0.32,1.26,0.31,1.24,0.05,+0.03,14.85
11,1453,2018Q2,8.97,43,9.27,10.3,-0.68,-6.8,0.19,0.03,-0.05,0.05,-0.01,15.5,-27.5,24.9,-5.29,-0.07,-0.29,-0.07,-0.29,-0.01,+0.07,14.8
12,1453,2018Q1,8.97,60,9.95,10,-0.15,-1.5,0.02,-0.02,-0.14,3.67,3.53,-93.7,-661,16862,16247,30.3,121,26,104,3.94,+4.03,14.81
13,1453,2017Q4,8.97,28,10.1,8.85,+1.92,+23.5,0.09,-0.03,-0.14,0.01,-0.14,-38.9,-153,12.2,-149,-1.34,-5.34,-1.05,-4.19,-0.15,-0.04,10.87
14,1453,2017Q3,8.97,47,8.18,7.96,-0.09,-1.1,0.19,0.05,-0.1,0.12,0.02,24.2,-53.1,64.6,10.3,0.2,0.78,0.17,0.66,0.02,+0.03,11.02
15,1453,2017Q2,8.97,32,8.27,8.06,+0.27,+3.4,0.32,-0.01,-0.09,0.01,-0.08,-3.13,-27.1,3.34,-24.9,-0.78,-3.14,-0.65,-2.62,-0.08,-0.02,11.02
16,1453,2017Q1,8.97,30,8,7.95,+0.11,+1.4,0.05,-0.03,-0.1,0.02,-0.08,-59.3,-208,38.4,-168,-0.77,-3.07,-0.65,-2.58,-0.09,-0.15,11.02
17,1453,2016Q4,8.97,30,7.89,7.94,-0.27,-3.3,0.11,-0.03,-0.12,0.01,-0.1,-30,-108,6.15,-90.3,-0.98,-3.91,-0.84,-3.36,-0.11,-0.01,11.04
18,1453,2016Q3,8.97,30,8.16,8.11,-0.28,-3.3,0.16,0,-0.07,0.06,-0.01,-0.78,-40.7,38.2,-4.51,-0.07,-0.29,-0.06,-0.25,-0.01,+0.1,11.12
19,1453,2016Q2,8.79,30,8.44,8.41,-0.53,-5.9,0.15,0,-0.07,0.03,-0.05,-1.6,-47.5,19.2,-36.1,-0.55,-2.2,-0.48,-1.94,-0.06,-1.07,11.34
20,1453,2016Q1,8.79,45,8.97,8.18,+0.54,+6.4,0.11,-0.02,-0.09,0.14,0.06,-15,-82,136,51.3,0.54,2.16,0.48,1.91,0.06,+0.25,11.38
21,1453,2015Q4,8.79,30,8.43,8.45,-0.23,-2.7,0.1,-0.03,-0.11,0.03,-0.09,-26.2,-109,27.8,-80.4,-0.83,-3.32,-0.74,-2.94,-0.1,+0.06,11.3
22,1453,2015Q3,8.79,30,8.66,9.68,-1.69,-16.3,0.11,-0.05,-0.13,0.03,-0.09,-49.8,-119,30.1,-83.8,-0.9,-3.58,-0.8,-3.2,-0.11,+0.02,11.39
23,1453,2015Q2,8.79,83,10.35,9.67,+1.5,+16.9,2.66,1.11,0.88,0,0.89,41.9,33,0.09,33.3,8.96,35.8,7.15,28.6,1.01,+1.22,11.59
24,1453,2015Q1,8.79,28,8.85,9.07,-0.43,-4.6,0.31,-0.08,-0.17,0.02,-0.17,-24.7,-56,6,-54,-1.75,-7.02,-1.27,-5.09,-0.19,-0.14,10.58
25,1453,2014Q4,8.79,28,9.28,9.16,-0.7,-7,0.55,-0.07,-0.18,0.05,-0.14,-13.6,-32.7,9.72,-25.9,-1.47,-5.86,-1.14,-4.58,-0.16,-0.48,10.76
26,1453,2014Q3,8.79,30,9.98,10,-0.22,-2.2,0.79,-0.02,-0.12,0.04,-0.11,-2.73,-14.7,4.56,-14.6,-1.19,-4.77,-1,-4,-0.13,+0.01,10.96
27,1453,2014Q2,8.38,30,10.2,9.96,+0.45,+4.6,0.39,-0.14,-0.22,0.04,-0.17,-36.4,-56.7,9.76,-43.3,-1.73,-6.93,-1.49,-5.98,-0.21,-0.3,11.67
28,1453,2014Q1,8.38,32,9.75,9.92,+0.05,+0.5,0.6,0.04,-0.07,0.01,-0.04,6.73,-10.9,1.74,-6.84,-0.41,-1.66,-0.36,-1.44,-0.05,-0.02,11.87
29,1453,2013Q4,8.38,57,9.7,10.2,-1.2,-11,1.22,0.35,0.24,0.02,0.26,28.6,19.9,1.97,21.7,2.71,10.9,2.35,9.38,0.32,-0.76,11.93
30,1453,2013Q3,7.74,32,10.9,10.6,-0.2,-1.8,0.53,-0.07,-0.14,0.05,-0.12,-13.5,-26.3,9.79,-22.2,-1.21,-4.86,-1.08,-4.32,-0.14,-0.69,12.55
31,1453,2013Q2,7.74,45,11.1,10.8,-0.2,-1.8,0.76,0.13,0.05,0.02,0.07,16.9,6,2.34,8.61,0.68,2.71,0.61,2.46,0.09,+0.02,12.68
32,1453,2013Q1,7.74,34,11.3,10.4,+0.1,+0.9,0.45,0.06,-0.02,0.01,-0.02,12.7,-3.86,1.98,-4.63,-0.21,-0.85,-0.19,-0.77,-0.03,+0.12,12.6
33,1453,2012Q4,7.74,81,11.2,10.3,+1.38,+14.1,2.88,1.24,0.82,-0.06,0.82,43.1,28.5,-2.13,26.9,8.35,33.4,7.02,28.1,1.08,+0.88,12.6
34,1453,2012Q3,7.74,70,9.82,8.97,+1.32,+15.5,2.11,0.73,0.44,0.01,0.46,34.6,21,0.51,21.8,5.31,21.3,4.07,16.3,0.55,+0.82,11.51
35,1453,2012Q2,7.44,43,8.5,8.55,-0.03,-0.4,1.16,0.19,0.07,-0.02,0.06,16.3,5.9,-1.68,4.5,0.62,2.49,0.47,1.87,0.07,+0.12,11.3
36,1453,2012Q1,7.44,28,8.53,8.66,+0.03,+0.4,0.79,-0.05,-0.14,0.02,-0.11,-5.89,-17.3,2.12,-14.1,-1.32,-5.3,-1.01,-4.05,-0.15,-0.39,11.24
37,1453,2011Q4,7.44,40,8.5,8.65,-0.05,-0.6,0.29,-0.06,-0.12,-,0.15,-21.1,-40.4,-,50,1.75,7,1.38,5.53,0.2,-0.06,11.38
38,1453,2011Q3,7.44,24,8.55,8.93,-1.34,-13.5,0.29,-0.16,-0.23,-,-0.19,-55.7,-78.1,-,-68.2,-2.3,-9.22,-1.95,-7.81,-0.27,-0.62,11.19
39,1453,2011Q2,7.09,31,9.89,10.6,-0.21,-2.1,0.47,0.02,-0.08,-,-0.04,3.32,-16.1,-,-7.72,-0.41,-1.64,-0.37,-1.46,-0.05,+0.01,12.09
40,1453,2011Q1,7.09,47,10.1,10.5,-1.2,-10.6,1.14,0.28,0.19,-,0.16,24.7,16.3,-,13.8,2.18,8.7,1.62,6.46,0.24,+0.3,12.11
41,1453,2010Q4,4.09,40,11.3,11.9,-1.6,-12.4,1.29,0.3,0.15,-0.03,0.11,23,11.5,-2.46,8.29,1.92,7.68,1.12,4.49,0.26,-0.57,13.26
42,1453,2010Q3,4.09,45,12.9,12.1,+3.38,+35.5,1.9,0.21,0.12,0.02,0.14,11.1,6.43,1.04,7.84,2.78,11.1,1.56,6.26,0.35,+0.39,12.96
43,1453,2010Q2,4.09,28,9.52,10.1,+0.36,+3.9,0.92,0.11,0,-0.01,-0.02,11.5,0.04,-1.53,-2.61,-0.46,-1.83,-0.26,-1.03,-0.06,+0.16,12.42
44,1453,2010Q1,4.09,28,9.16,9.41,+0.25,+2.8,0.48,0.06,-0.02,0.01,-0.03,11.6,-4.18,2.22,-5.57,-0.5,-2.01,-0.29,-1.16,-0.06,-0.22,12.51
45,1453,2009Q4,4.09,64,8.91,8.99,-0.54,-5.7,1.18,0.39,0.32,0.06,0.34,33.3,27.2,5.52,29,6.63,26.5,4.01,16,0.83,+2.35,12.67
46,1453,2009Q3,4.09,30,9.45,7.74,+2.15,+29.5,0.74,0,-0.08,0.06,-0.02,0.23,-11.1,8.59,-1.96,-0.29,-1.17,-0.18,-0.73,-0.04,+0.36,11.74
47,1453,2009Q2,4.09,28,7.3,7.33,-0.41,-5.3,0.98,0.03,-0.06,-0.01,-0.08,3,-6.22,-1.45,-7.67,-1.51,-6.04,-0.93,-3.73,-0.22,-0.48,11.76
48,1453,2009Q1,4.09,38,7.71,6.16,+1.14,+17.4,0.81,0.16,0.09,-0.02,0.07,19.4,10.7,-2.54,8.18,1.35,5.4,0.84,3.34,0.16,-0.79,11.74
49,1453,2008Q4,4.09,19,6.57,6.09,+1.99,+43.4,0.58,-0.27,-0.36,-0.27,-0.62,-47.7,-62.3,-46.4,-108,-11.9,-47.7,-7.6,-30.4,-1.52,-2.37,11.57
50,1453,2008Q3,4.09,26,4.58,6.62,-2.26,-33,1.21,0.21,0.11,-0.28,-0.16,17.4,9.44,-23.3,-13.9,-2.97,-11.9,-1.9,-7.6,-0.4,-0.28,13.12
51,1453,2008Q2,8.73,47,6.84,6.77,+3.49,+104,1.79,0.43,0.23,-0.02,0.22,24.1,12.7,-0.88,11.8,3.71,14.8,2.3,9.21,0.26,+0.21,6.46
52,1453,2008Q1,8.73,68,3.35,3.18,-0.11,-3.2,3.16,1.04,0.84,-0.01,0.83,33,26.7,-0.27,26.4,16,64.2,8.57,34.3,0.95,-,6.28
53,1453,2007Q4,8.73,47,3.46,3.87,-0.83,-19.3,6.83,1.04,0.56,-0.09,0.45,15.3,8.26,-1.28,6.71,9.64,38.6,4.47,17.9,0.85,+1.8,5.25
54,1453,2007Q3,6.73,12,4.29,4.2,+0.09,+2.1,1.21,0.02,-0.08,-0.09,-0.16,1.8,-6.21,-7.68,-13.9,-,-,-,-,-0.12,-,5.1
55,1453,2007Q2,6.73,21,4.2,4.58,-0.5,-10.6,2.79,0.11,-0.06,0,-0.06,4.06,-2.1,0.06,-2.04,-1.57,-6.27,-0.53,-2.11,0.05,+0.2,5.14
56,1453,2007Q1,-,-,4.7,3.79,+1.31,+38.6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
57,1453,2006Q4,3.53,26,3.39,1.84,+2.2,+185,-,-,-,-,-0.33,-,-,-,-,-13,-51.9,-3.4,-13.6,-0.95,+1.78,6.84
58,1453,2006Q3,-,-,1.27,1.2,-0.09,-6.6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
59,1453,2006Q2,7.98,26,1.36,2.13,-1.64,-54.7,-,-,-,-,-0.12,-,-,-,-,-3.66,-14.6,-1.14,-4.58,-0.15,0,3.78
60,1453,2006Q1,-,-,3,2.9,-0.01,-0.3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
61,1453,2005Q4,7.98,22,3.01,2.33,+0.89,+42,-,-,-,-,-2.11,-,-,-,-,-63.4,-254,-21.5,-85.9,-2.73,-1.57,4.08
62,1453,2005Q3,-,-,2.12,2.41,-0.87,-29.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
63,1453,2005Q2,7.98,26,2.99,2.63,-0.18,-5.7,-,-,-,-,-0.11,-,-,-,-,-2.02,-8.07,-0.94,-3.74,-0.15,-,7.03
64,1453,2005Q1,-,-,3.17,3.77,-0.89,-21.9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
65,1453,2004Q4,7.98,22,4.06,4.07,+0.16,+4.1,-,-,-,-,-0.9,-,-,-,-,-12.4,-49.6,-6.13,-24.5,-1.16,-1.2,8.5
66,1453,2004Q3,-,-,3.9,5.56,-2.5,-39.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
67,1453,2004Q2,-,-,6.4,7.78,-2.7,-29.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
68,1453,2004Q1,-,-,9.1,9.83,-0.7,-7.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
69,1453,2003Q4,7.98,30,9.8,5.7,+5.69,+138,-,-,-,-,0.03,-,-,-,-,0.43,1.73,0.21,0.84,0.04,+3.02,9.84
70,1453,2003Q3,-,-,4.11,3.78,+0.76,+22.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
71,1453,2003Q2,-,-,3.35,2.95,-0.15,-4.3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
72,1453,2003Q1,-,-,3.5,4.32,-0.83,-19.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
73,1453,2002Q4,14.9,19,4.33,4.81,+0.66,+18,-,-,-,-,-4.31,-,-,-,-,-56.7,-227,-20.9,-83.5,-2.98,-,5.08
74,1453,2002Q3,-,-,3.67,5.43,-2.88,-44,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
75,1453,2002Q2,-,-,6.55,8.72,-4.25,-39.4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
76,1453,2002Q1,-,-,10.8,9.08,+2.45,+29.3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
77,1453,2001Q4,-,-,8.35,7.17,+1.95,+30.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
78,1453,2001Q3,-,-,6.4,7.89,-3.6,-36,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
79,1453,2001Q2,-,-,10,12.3,-0.1,-1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
80,1453,2001Q1,-,-,10.1,6.28,+6.6,+189,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
81,1453,2000Q4,-,-,3.5,3.74,-0.5,-12.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
82,1453,2000Q3,-,-,4,4.08,-0.41,-9.3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
83,1453,2000Q2,-,-,4.41,4.8,-1.24,-21.9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
84,1453,2000Q1,-,-,5.65,6.05,+1.95,+52.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
85,1453,1999Q4,-,-,3.7,4.75,-1.95,-34.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
86,1453,1999Q3,-,-,5.65,6.43,-2.2,-28,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
87,1453,1999Q2,-,-,7.85,9.89,-2.7,-25.6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
88,1453,1999Q1,-,-,10.55,10.5,+0.05,+0.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
89,1453,1998Q4,-,-,10.5,14.7,-4.6,-30.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
90,1453,1998Q3,-,-,15.1,18,-3.7,-19.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
91,1453,1998Q2,-,-,18.8,19.7,+1.41,+8.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
92,1453,1998Q1,-,-,17.39,16,+1.09,+6.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
93,1453,1997Q4,-,-,16.3,16.3,-1,-5.8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
94,1453,1997Q3,-,-,17.3,16.3,+1.1,+6.8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
95,1453,1997Q2,-,-,16.2,18.8,-4.6,-22.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
96,1453,1997Q1,-,-,20.8,18.9,+4.9,+30.8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
97,1453,1996Q4,-,-,15.9,15.3,+0.1,+0.6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
98,1453,1996Q3,-,-,15.8,16,-0.4,-2.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
99,1453,1996Q2,-,-,16.2,15.7,+1.3,+8.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
100,1453,1996Q1,-,-,14.9,15.3,-2.9,-16.3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
101,1453,1995Q4,-,-,17.8,20,-0.09,-0.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
102,1453,1995Q3,-,-,17.89,17.9,-3.91,-17.9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
103,1453,1995Q2,-,-,21.8,25.4,-7.1,-24.6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
104,1453,1995Q1,-,-,28.9,29.4,-3,-9.4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
105,1453,1994Q4,-,-,31.9,30.7,-5.6,-14.9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
106,1453,1994Q3,-,-,37.5,37.4,-3.8,-9.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
107,1453,1994Q2,-,-,41.3,40.4,+1.6,+4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
108,1453,1994Q1,-,-,39.7,47.6,-16.3,-29.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
109,1453,1993Q4,-,-,56,57.2,+2.5,+4.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
