ID,sid,股利發放年度,股利所屬盈餘期間,股東會日期,除息交易日,除息參考價,填息完成日,填息花費日數,現金股利發放日,除權交易日,除權參考價,填權完成日,填權花費日數,現金股利盈餘,現金股利公積,現金股利合計,股票股利盈餘,股票股利公積,股票股利合計,股利合計
0,1587,2020,2019全年,20'05/28,20'06/12,12.75,20'06/23,8,20'07/08,,,,,0,0.5,0.5,0,0,0,0.5
1,1587,2019,2018全年,19'06/14,19'08/26,18.15,20'07/06,208,19'09/30,19'08/26,18.15,20'07/06,208,0.1,0,0.1,0.2,0,0.2,0.3
2,1587,2018,2017全年,18'05/29,18'07/20,19,18'07/20,1,18'08/17,,,,,0.44,0,0.44,0,0,0,0.44
3,1587,2017,2016全年,17'04/18,17'06/06,,,,17'07/11,17'06/06,,,,1,0,1,1.05,0,1.05,2.05
4,1587,2016,2015全年,16'06/03,,,,,,,,,,1,0,1,0,0,0,1
5,1587,2015,2014全年,15'06/05,15'07/31,,15'08/03,2,15'08/27,,,,,1.2,0,1.2,0,0,0,1.2
6,1587,2014,2013全年,14'05/30,14'07/09,,17'04/10,673,,14'07/09,,17'04/10,673,1.2,0,1.2,0.3,0,0.3,1.5
7,1587,2013,2012全年,13'05/31,13'07/03,,13'07/03,1,,,,,,0.5,0,0.5,0,0,0,0.5
8,1587,2012,2011全年,12'05/31,12'07/03,,12'07/10,6,,,,,,1,0,1,0,0,0,1
9,1587,2011,2010全年,11'06/16,11'08/15,,11'08/15,1,,11'08/15,,11'08/15,1,1,0,1,0.2,0,0.2,1.2
10,1587,2010,2009全年,10'06/18,,,,,,,,,,1.5,0,1.5,0,0,0,1.5
