sid,單季,負債總額,負債總額百分比,每股淨值(元),股東權益總額
2104,2020Q3,168,33.7,30.06,331.2
2104,2020Q2,175,34.8,29.78,328.5
2104,2020Q2,175,34.8,29.78,328.5
2104,2020Q2,175,34.8,29.78,328.5
2104,2020Q2,175,34.8,29.78,328.5
2104,2020Q1,177.1,34.8,29.97,331.4
2104,2020Q1,177.1,34.8,29.97,331.4
2104,2020Q1,177.1,34.8,29.97,331.4
2104,2019Q4,173.2,33.6,31.12,342.9
2104,2019Q4,173.2,33.6,31.12,342.9
2104,2019Q4,173.2,33.6,31.12,342.9
2104,2019Q3,183.1,34.3,31.52,350.5
2104,2019Q3,183.1,34.3,31.52,350.5
2104,2019Q3,183.1,34.3,31.52,350.5
2104,2019Q2,200.4,36.6,35.74,347.8
2104,2019Q2,200.4,36.6,35.74,347.8
2104,2019Q2,200.4,36.6,35.74,347.8
2104,2019Q1,200.2,36.3,36.24,351.7
2104,2019Q1,200.2,36.3,36.24,351.7
2104,2019Q1,200.2,36.3,36.24,351.7
2104,2018Q4,176.8,35.4,34.47,322.6
2104,2018Q4,176.8,35.4,34.47,322.6
