input_name,sql_table_name,sql_field_name
開盤價,DayStockInformation,OpeningPrice
收盤價,DayStockInformation,ClosingPrice
最高價,DayStockInformation,HighestPrice
最低價,DayStockInformation,LowestPrice
漲跌價差,DayStockInformation,Change_
成交股數,DayStockInformation,TradeVolume
成交筆數,DayStockInformation,Transation_
成交金額,DayStockInformation,TradeValue
成交價,DayStockInformation,ClosingPrice
(日)K線,DayStockInformation,ClosingPrice
(週)K線,WeekStockInformation,ClosingPrice
(月)K線,MonthStockInformation,ClosingPrice
向上突破5日線,Breakupward,PriceMA5
向上突破月線,Breakupward,PriceMA20
向上突破季線,Breakupward,PriceMA60
向下跌破5日線,Downwardbreak,PriceMA5
向下跌破月線,Downwardbreak,PriceMA20
向下跌破季線,Downwardbreak,PriceMA60
低於20,-100000000,20
介於20~40,20,40
介於40~60,40,60
介於60~80,60,80
大於80,80,100000000
MACD、DIF小於0,-10000,0
MACD、DIF大於0,0,10000000
賣壓比例,DayStockInformation,SellingPressureRatio
賣壓比例-突破,Breakupward|ClosingPrice,SellingPressureRatio|DayStockInformation
賣壓比例-跌破,Downwardbreak|ClosingPrice,SellingPressureRatio|DayStockInformation
OSC,DIF12and26,MACD9
由負轉正,FromNegativeToPositive,DayStockInformation
由正轉負,FromPositiveToNegative,DayStockInformation
低於80,-10000,80
介於80~90,80,90
介於90~100,90,100
介於100~110,100,110
介於110~120,110,120
高於120,120,100000
(日)RSI(6)/RSI(9),DayStockInformation,RSI6|RSI9
(週)RSI(6)/RSI(9),WeekStockInformation,RSI6|RSI9
(月)RSI(6)/RSI(9),MonthStockInformation,RSI6|RSI9
(日)K(9)/D(9),DayStockInformation,K9_|D9
(週)K(9)/D(9),WeekStockInformation,K9_|D9
(月)K(9)/D(9),MonthStockInformation,K9_|D9
(日)MACD/DIF,DayStockInformation,MACD9|DIF12and26
(週)MACD/DIF,WeekStockInformation,MACD9|DIF12and26
(月)MACD/DIF,MonthStockInformation,MACD9|DIF12and26
黃金交叉,RSIGoldenCross|KDGoldenCross,-1000000|1000000
小於20黃金交叉,RSIGoldenCross|KDGoldenCross,-100000|20
介於20~50黃金交叉,RSIGoldenCross|KDGoldenCross,20|50
介於50~80黃金交叉,RSIGoldenCross|KDGoldenCross,50|80
高於80黃金交叉,RSIGoldenCross|KDGoldenCross,80|10000000
死亡交叉,RSIDeathCross|KDDeathCross,-1000000|1000000
小於20死亡交叉,RSIDeathCross|KDDeathCross,-100000|20
介於20~50死亡交叉,RSIDeathCross|KDDeathCross,20|50
介於50~80死亡交叉,RSIDeathCross|KDDeathCross,50|80
高於80死亡交叉,RSIDeathCross|KDDeathCross,80|10000000
(日)開盤價,DayStockInformation,OpeningPrice
(日)收盤價,DayStockInformation,ClosingPrice
(日)最高價,DayStockInformation,HighestPrice
(日)最低價,DayStockInformation,LowestPrice
(日)漲跌價差,DayStockInformation,Change_
(日)漲跌幅度(%),DayStockInformation,TradeVolume
(日)成交股數,DayStockInformation,Transation_
(日)成交筆數,DayStockInformation,TradeValue
(週)開盤價,WeekStockInformation,OpeningPrice
(週)收盤價,WeekStockInformation,ClosingPrice
(週)最高價,WeekStockInformation,HighestPrice
(週)最低價,WeekStockInformation,LowestPrice
(週)漲跌價差,WeekStockInformation,Change_
(週)漲跌幅度(%),WeekStockInformation,TradeVolume
(週)成交股數,WeekStockInformation,Transation_
(週)成交筆數,WeekStockInformation,TradeValue
(月)開盤價,MonthStockInformation,OpeningPrice
(月)收盤價,MonthStockInformation,ClosingPrice
(月)最高價,MonthStockInformation,HighestPrice
(月)最低價,MonthStockInformation,LowestPrice
(月)漲跌價差,MonthStockInformation,Change_
(月)漲跌幅度(%),MonthStockInformation,TradeVolume
(月)成交股數,MonthStockInformation,Transation_
(月)成交筆數,MonthStockInformation,TradeValue
(日)K(9),DayStockInformation,K9_
(日)D(9),DayStockInformation,D9
(週)K(9),WeekStockInformation,K9_
(週)D(9),WeekStockInformation,D9
(月)K(9),MonthStockInformation,K9_
(月)D(9),MonthStockInformation,D9
(日)RSI(6),DayStockInformation,RSI6
(日)RSI(9),DayStockInformation,RSI9
(日)RSI(12),DayStockInformation,RSI12
(週)RSI(6),WeekStockInformation,RSI6
(週)RSI(9),WeekStockInformation,RSI9
(週)RSI(12),WeekStockInformation,RSI12
(月)RSI(6),MonthStockInformation,RSI6
(月)RSI(9),MonthStockInformation,RSI9
(月)RSI(12),MonthStockInformation,RSI12
(日)成交量均價(5),DayStockInformation,VolumeMA5
(日)成交量均價(20),DayStockInformation,VolumeMA20
(日)成交量均價(60),DayStockInformation,VolumeMA60
(日)成交價均價(5),DayStockInformation,PriceMA5
(日)成交價均價(20),DayStockInformation,PriceMA20
(日)成交價均價(60),DayStockInformation,PriceMA60
(週)成交量均價(5),WeekStockInformation,VolumeMA5
