王勃,杜少府之任蜀州
王維,輞川閒居贈裴秀才迪
王維,山居秋暝
王維,歸嵩山作
王維,終南山
王維,酬張少府
王維,過香積寺
王維,送梓州李使君
王維,漢江臨眺
王維,終南別業
王灣,次北固山下
司空曙,雲陽館與韓紳宿別
司空曙,喜外弟盧綸見宿
司空曙,賊平後送人北歸
白居易,賦得古原草送別
宋之問,題大庾嶺北驛
岑參,寄左省杜拾遺
李白,贈孟浩然
李白,渡荊門送別
李白,送友人
李白,聽蜀僧濬彈琴
李白,夜泊牛渚懷古
李益,喜見外弟又言別
李商隱,蟬
李商隱,風雨
李商隱,落花
李商隱,涼思
李商隱,北青蘿
杜甫,月夜
杜甫,春望
杜甫,春宿左省
杜甫,至德二載甫自金光門出，間道歸鳳翔。乾元初從左拾遺移華州掾，與親故別，因出此門，有悲往事。
杜甫,月夜憶舍弟
杜甫,天末懷李白
杜甫,奉濟驛重送嚴公四韻
杜甫,別房太尉墓
杜甫,旅夜書懷
杜甫,登岳陽樓
杜牧,旅宿
杜荀鶴,春宮怨
杜審言,和晉陵陸丞早春游望
沈佺期,雜詩
孟浩然,臨洞庭湖上張丞相
孟浩然,與諸子登峴山
孟浩然,宴梅道士山房
孟浩然,歲暮歸南山
孟浩然,過故人莊
孟浩然,秦中寄遠上人
孟浩然,宿桐廬江寄廣陵舊遊
孟浩然,留別王維
孟浩然,早寒有懷
韋莊,章臺夜思
韋應物,淮上喜會梁州故人
韋應物,賦得暮雨送李曹
唐玄宗,經魯祭孔子而歎之
馬戴,灞上秋居
馬戴,楚江懷古
崔塗,除夜有懷
崔塗,孤雁
常建,題破山寺後禪院
張九齡,望月懷遠
張喬,書邊事
張籍,沒蕃故人
許渾,秋日赴闕題潼關驛樓
許渾,早秋
溫庭筠,送人東遊
僧皎然,尋陸鴻漸不遇
劉長卿,秋日登吳公臺上寺遠眺，寺即陳將吳明徹戰場
劉長卿,送李中丞歸漢陽別業
劉長卿,餞別王十一南遊
劉長卿,尋南溪常道士
劉長卿,新年作
劉禹錫,蜀先主廟
劉慎,虛闕題
盧綸,送李端
錢起,送僧歸日本
錢起,谷口書齋寄楊補闕
駱賓王,在獄詠蟬并序
戴叔倫,江鄉故人偶集客舍
韓翃,酬程延秋夜即事見贈
