有價證卷代號及名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
3703　欣陸, 99/04/07,0,0,--,--,--,--, 0.00,0
3703　欣陸, 99/04/08,"2,192,605","28,602,681",12.85,13.25,12.60,13.15,X0.00,541
3703　欣陸, 99/04/09,"1,298,156","16,903,504",13.20,13.25,12.90,13.05,-0.10,527
3703　欣陸, 99/04/12,"1,063,309","13,762,930",13.05,13.20,12.85,12.85,-0.20,368
3703　欣陸, 99/04/13,"1,274,716","16,180,845",12.85,12.85,12.55,12.55,-0.30,354
3703　欣陸, 99/04/14,"1,561,054","19,499,962",12.60,12.65,12.40,12.45,-0.10,381
3703　欣陸, 99/04/15,"2,181,699","27,475,783",12.55,12.75,12.50,12.70,+0.25,416
3703　欣陸, 99/04/16,"1,448,549","18,201,304",12.70,12.70,12.40,12.50,-0.20,321
3703　欣陸, 99/04/19,"1,440,207","17,449,386",12.40,12.50,11.70,11.80,-0.70,406
3703　欣陸, 99/04/20,"1,017,640","12,138,844",12.00,12.15,11.80,12.00,+0.20,208
3703　欣陸, 99/04/21,"717,470","8,586,582",12.10,12.10,11.85,12.00, 0.00,259
3703　欣陸, 99/04/22,"582,888","6,898,529",11.95,12.00,11.80,11.80,-0.20,348
3703　欣陸, 99/04/23,"680,901","8,058,675",11.80,11.90,11.80,11.85,+0.05,380
3703　欣陸, 99/04/26,"1,163,697","14,720,753",12.65,12.65,12.65,12.65,+0.80,296
3703　欣陸, 99/04/27,"3,692,861","48,277,779",13.40,13.40,12.75,12.75,+0.10,"1,145"
3703　欣陸, 99/04/28,"1,395,386","17,254,363",12.00,12.60,12.00,12.45,-0.30,396
3703　欣陸, 99/04/29,"1,319,914","16,586,021",12.55,12.80,12.40,12.55,+0.10,353
3703　欣陸, 99/04/30,"5,531,799","66,803,273",12.55,12.55,11.75,11.80,-0.75,"1,063"
3703　欣陸, 99/05/03,"1,247,669","14,853,558",11.80,12.00,11.75,11.90,+0.10,311
3703　欣陸, 99/05/04,"670,473","7,984,926",11.90,12.05,11.80,11.90, 0.00,219
3703　欣陸, 99/05/05,"1,180,697","13,569,164",11.70,11.80,11.35,11.45,-0.45,414
3703　欣陸, 99/05/06,"972,268","10,931,568",11.35,11.40,11.10,11.15,-0.30,326
3703　欣陸, 99/05/07,"2,819,276","32,433,281",11.00,11.90,10.75,11.90,+0.75,574
3703　欣陸, 99/05/10,"1,156,334","13,758,074",12.00,12.00,11.65,11.95,+0.05,332
3703　欣陸, 99/05/11,"692,329","8,290,349",12.20,12.20,11.65,11.65,-0.30,254
3703　欣陸, 99/05/12,"310,168","3,667,911",12.00,12.00,11.70,11.80,+0.15,145
3703　欣陸, 99/05/13,"1,961,558","23,830,448",12.05,12.30,11.85,12.20,+0.40,436
3703　欣陸, 99/05/14,"1,573,984","19,102,004",12.20,12.35,11.95,12.20, 0.00,368
3703　欣陸, 99/05/17,"701,580","8,381,452",12.20,12.20,11.85,12.00,-0.20,194
3703　欣陸, 99/05/18,"671,265","7,961,040",12.00,12.00,11.75,11.95,-0.05,209
3703　欣陸, 99/05/19,"831,194","9,980,978",12.00,12.15,11.75,12.10,+0.15,255
3703　欣陸, 99/05/20,"351,602","4,194,920",12.10,12.10,11.80,11.80,-0.30,114
3703　欣陸, 99/05/21,"1,522,980","17,229,823",11.30,11.60,11.15,11.30,-0.50,447
3703　欣陸, 99/05/24,"417,504","4,781,566",11.35,11.60,11.25,11.45,+0.15,196
3703　欣陸, 99/05/25,"414,879","4,672,142",11.55,11.55,11.05,11.30,-0.15,202
3703　欣陸, 99/05/26,"605,567","6,818,393",11.30,11.40,11.10,11.10,-0.20,188
3703　欣陸, 99/05/27,"599,775","6,839,869",11.15,11.65,11.15,11.65,+0.55,185
3703　欣陸, 99/05/28,"519,328","6,062,772",11.70,11.80,11.55,11.55,-0.10,196
3703　欣陸, 99/05/31,"386,429","4,514,201",11.65,11.80,11.55,11.60,+0.05,181
3703　欣陸, 99/06/01,"243,504","2,832,894",11.80,11.80,11.55,11.70,+0.10,156
3703　欣陸, 99/06/02,"467,426","5,393,548",11.70,11.70,11.45,11.60,-0.10,261
3703　欣陸, 99/06/03,"457,789","5,321,609",11.60,11.75,11.55,11.65,+0.05,148
3703　欣陸, 99/06/04,"178,708","2,072,725",11.75,11.75,11.50,11.65, 0.00,80
3703　欣陸, 99/06/07,"550,552","6,212,409",11.50,11.50,11.10,11.35,-0.30,199
3703　欣陸, 99/06/08,"2,154,363","25,850,138",11.35,12.10,11.25,12.10,+0.75,364
3703　欣陸, 99/06/09,"1,309,900","15,854,883",12.40,12.40,11.70,11.75,-0.35,376
3703　欣陸, 99/06/10,"695,015","8,269,627",11.70,12.20,11.55,12.00,+0.25,221
3703　欣陸, 99/06/11,"462,135","5,587,907",12.30,12.30,12.00,12.05,+0.05,155
3703　欣陸, 99/06/14,"1,197,956","14,529,668",12.10,12.30,11.90,12.05, 0.00,248
3703　欣陸, 99/06/15,"1,241,185","14,797,542",12.20,12.20,11.70,11.70,-0.35,265
3703　欣陸, 99/06/17,"1,007,167","12,177,854",12.00,12.25,11.90,12.10,+0.40,335
3703　欣陸, 99/06/18,"418,550","5,029,750",12.15,12.15,11.90,12.10, 0.00,147
3703　欣陸, 99/06/21,"4,779,680","59,003,939",12.00,12.75,12.00,12.15,+0.05,"1,078"
3703　欣陸, 99/06/22,"1,046,235","12,719,270",12.15,12.30,12.00,12.05,-0.10,295
3703　欣陸, 99/06/23,"466,043","5,599,661",12.05,12.10,11.95,11.95,-0.10,190
3703　欣陸, 99/06/24,"462,360","5,544,049",12.10,12.20,11.90,11.95, 0.00,230
3703　欣陸, 99/06/25,"1,575,124","19,010,246",11.95,12.25,11.80,12.15,+0.20,445
3703　欣陸, 99/06/28,"422,857","5,132,334",12.15,12.20,12.05,12.10,-0.05,149
3703　欣陸, 99/06/29,"568,797","6,883,181",12.15,12.20,11.95,12.00,-0.10,121
3703　欣陸, 99/06/30,"492,000","5,760,950",11.85,11.85,11.60,11.75,-0.25,97
3703　欣陸, 99/07/01,"295,000","3,454,050",11.70,11.80,11.65,11.65,-0.10,84
3703　欣陸, 99/07/02,"677,260","7,935,815",11.65,11.80,11.65,11.70,+0.05,155
3703　欣陸, 99/07/05,"369,881","4,333,294",11.75,11.85,11.70,11.70, 0.00,134
3703　欣陸, 99/07/06,"499,383","5,834,710",11.65,11.75,11.60,11.70, 0.00,285
3703　欣陸, 99/07/07,"514,059","6,068,982",11.70,11.95,11.70,11.75,+0.05,209
3703　欣陸, 99/07/08,"4,625,380","57,029,731",11.80,12.55,11.70,12.30,+0.55,999
3703　欣陸, 99/07/09,"1,602,865","19,605,480",12.30,12.40,12.05,12.10,-0.20,421
3703　欣陸, 99/07/12,"1,350,568","16,322,491",12.25,12.25,12.00,12.10, 0.00,614
3703　欣陸, 99/07/13,"1,575,419","18,886,143",12.10,12.15,11.85,11.90,-0.20,330
