ID,sid,股利發放年度,股利所屬盈餘期間,股東會日期,除息交易日,除息參考價,填息完成日,填息花費日數,現金股利發放日,除權交易日,除權參考價,填權完成日,填權花費日數,現金股利盈餘,現金股利公積,現金股利合計,股票股利盈餘,股票股利公積,股票股利合計,股利合計
0,1711,2020,2019全年,20'05/28,20'06/17,14.55,20'06/17,1,20'07/15,,,,,0.3,0,0.3,0,0,0,0.3
1,1711,2019,2018全年,19'05/30,19'06/24,16.5,19'07/02,7,19'07/17,,,,,0.5,0,0.5,0,0,0,0.5
2,1711,2018,2017全年,18'06/06,18'07/05,17.7,18'07/11,5,18'07/27,,,,,0.5,0,0.5,0,0,0,0.5
3,1711,2017,2016全年,17'06/08,17'06/29,18.25,17'08/31,46,17'07/21,,,,,0.5,0,0.5,0,0,0,0.5
4,1711,2016,2015全年,16'06/15,16'07/25,20.35,17'03/07,150,16'08/29,16'07/25,20.35,17'03/07,150,0.5,0,0.5,0.5,0,0.5,1
5,1711,2015,2014全年,15'06/11,15'07/27,21.05,15'11/19,81,15'08/31,15'07/27,21.05,15'11/19,81,0.5,0,0.5,0.5,0,0.5,1
6,1711,2014,2013全年,14'06/20,14'08/04,34.1,,,14'09/05,14'08/04,34.1,,,0.5,0,0.5,0.5,0,0.5,1
7,1711,2013,2012全年,13'06/11,13'07/15,19.55,13'08/01,14,,13'07/15,19.55,13'08/01,14,0.5,0,0.5,0.5,0,0.5,1
8,1711,2012,2011全年,12'05/24,12'07/02,16.95,12'08/08,27,,12'07/02,16.95,12'08/08,27,0.5,0,0.5,0.5,0,0.5,1
9,1711,2011,2010全年,11'05/24,11'07/12,24.8,13'10/30,574,,11'07/12,24.8,13'10/30,574,0.6,0,0.6,1,0,1,1.6
10,1711,2010,2009全年,10'06/09,10'07/01,26.75,10'07/02,2,,,,,,0.7,0,0.7,0,0,0,0.7
11,1711,2009,2008全年,09'06/12,09'07/02,16.35,09'07/02,1,,,,,,0.2,0,0.2,0,0,0,0.2
12,1711,2008,2007全年,08'06/13,08'07/03,14.85,08'07/03,1,,,,,,0.3,0,0.3,0,0,0,0.3
13,1711,2007,2006全年,07'06/11,07'06/29,20.2,07'06/29,1,,,,,,0.3,0,0.3,0,0,0,0.3
14,1711,2006,2005全年,06'06/08,06'06/28,11.35,06'06/28,1,,,,,,0.5,0,0.5,0,0,0,0.5
15,1711,2005,2004全年,05'06/16,05'07/05,9.55,06'01/11,133,,,,,,0.5,0,0.5,0,0,0,0.5
16,1711,2004,2003全年,04'06/04,04'07/14,10.8,04'08/11,21,,,,,,0.5,0,0.5,0,0,0,0.5
17,1711,2003,2002全年,03'06/05,03'07/01,10.1,03'07/09,7,,,,,,0.5,0,0.5,0,0,0,0.5
18,1711,2002,2001全年,02'06/21,02'07/24,10.35,02'07/25,2,,02'07/24,10.35,02'07/25,2,0.15,0,0.15,0.15,0,0.15,0.31
19,1711,2001,2000全年,01'05/18,,,,,,01'07/17,6.5,01'07/17,1,0,0,0,0.35,0,0.35,0.35
20,1711,2000,1999全年,00'05/19,,,,,,00'07/19,15.9,06'12/29,1613,0,0,0,0.6,0.4,1,1
21,1711,1999,1998全年,99'05/20,,,,,,99'07/13,20.6,00'02/22,163,0,0,0,1,0,1,1
22,1711,1998,1997全年,98'05/22,,,,,,98'08/05,35.6,07'07/25,2274,0,0,0,1.5,0,1.5,1.5
23,1711,1997,1996全年,97'05/22,,,,,,97'07/11,51,,,0,0,0,1.5,0,1.5,1.5
24,1711,1996,1995全年,96'05/24,,,,,,96'07/30,30.5,96'09/03,29,0,0,0,0.5,0,0.5,0.5
25,1711,1995,1994全年,95'05/26,,,,,,95'07/29,24.71,95'12/15,112,0,0,0,1,0,1,1
26,1711,1994,1993全年,94'05/26,,,,,,94'07/30,36.9,94'08/01,2,0,0,0,1,0,1,1
27,1711,1993,1992全年,93'05/21,,,,,,93'07/30,38.78,93'11/03,78,0,0,0,1.5,0,1.5,1.5
28,1711,1992,1991全年,92'05/15,,,,,,92'07/30,44.97,93'04/02,187,0,0,0,2,0,2,2
29,1711,1991,1990全年,91'05/24,,,,,,91'07/31,76.25,,,0,0,0,2,0,2,2
30,1711,1990,1989全年,90'04/27,,,,,,90'06/22,61.5,,,0,0,0,3,0,3,3
31,1711,1989,1988全年,,,,,,,,,,,0,0,0,4,0,4,4
32,1711,1988,1987全年,,,,,,,,,,,0.5,0,0.5,4.5,0,4.5,5
33,1711,1987,1986全年,,,,,,,,,,,0.5,0,0.5,3.5,0,3.5,4
34,1711,1986,1985全年,,,,,,,,,,,0.2,0,0.2,2,0,2,2.2
35,1711,1985,1984全年,,,,,,,,,,,0,0,0,2.5,0,2.5,2.5
36,1711,1984,1983全年,,,,,,,,,,,0,0,0,4,0,4,4
