ID,sid,交易季度,交易日數,開盤,最高,最低,收盤,漲跌,漲跌(%),振幅(%),成交張數千張,成交張數日均,成交金額億元,成交金額日均,法人買賣超(千張)外資,法人買賣超(千張)投信,法人買賣超(千張)自營,法人買賣超(千張)合計,外資持股(%),融資(千張)增減,融資(千張)餘額,融券(千張)增減,融券(千張)餘額,券資比(%)
0,2388,21Q1,25,58,61.9,49.1,51.1,-2.3,-4.31,24,117,4.7,66.3,2.7,-1.56,0,-0.01,-1.57,,0,0,0,0,0
1,2388,20Q4,63,35.75,62,34.45,53.4,+17.3,+47.9,76.3,305,4.8,151,2.4,+2.59,-0.03,+0.02,+2.59,8.6,0,0,0,0,0
2,2388,20Q3,66,33.6,43.45,32.6,36.1,+2.55,+7.6,32.3,391,5.9,151,2.3,-0.67,+0.04,0,-0.64,8.1,0,0,0,0,0
3,2388,20Q2,60,19.25,35,19.05,33.55,+14.3,+74.3,82.9,124,2.1,36.7,0.61,-13,-0.07,0,-13.1,8.2,0,0,0,0,0
4,2388,20Q1,56,36.3,36.85,16.5,19.25,-16.6,-46.3,56.8,62.2,1.1,18.1,0.32,+0.79,+0.03,-0.01,+0.81,10.9,0,0,0,0,0
5,2388,19Q4,64,35.2,37.4,31.3,35.85,+1.15,+3.31,17.6,84.1,1.3,29,0.45,+1.05,+0.03,+0.01,+1.09,10.7,0,0,0,0,0
6,2388,19Q3,63,36.45,37.9,30.5,34.7,-0.8,-2.25,20.8,91.9,1.5,32.1,0.51,+0.64,-0.08,-0.23,+0.33,10.5,0,0,0,0,0
7,2388,19Q2,61,40,42.8,29.25,35.5,-4.4,-11,34,159,2.6,57.9,0.95,+2.42,-0.11,+0.21,+2.51,10.4,0,0,0,0,0
8,2388,19Q1,54,26.45,41.5,23.5,39.9,+13.6,+51.7,68.4,185,3.4,59.9,1.1,+8.72,+0.2,+0.02,+8.93,10.1,0,0,0,0,0
9,2388,18Q4,65,36,36.4,18.25,26.3,-9.45,-26.4,50.8,197,3,50.7,0.78,+9.04,-0.06,0,+8.97,8.1,0,0,0,0,0
10,2388,18Q3,64,52.8,55.4,33.5,35.75,-14.65,-29.1,43.5,309,4.8,135,2.1,-1.29,+0.06,-0.16,-1.39,6.3,0,0,0,0,0
11,2388,18Q2,60,42.35,52.5,26.5,50.4,+8.95,+21.6,62.7,672,11.2,255,4.3,+19.7,0,+0.16,+19.9,6.5,0,0,0,0,0
12,2388,18Q1,58,10.6,42,10.45,41.45,+30.85,+291,298,301,5.2,67.7,1.2,+1.33,0,0,+1.33,2.7,0,0,0,0,0
13,2388,17Q4,62,11.15,11.95,10,10.6,-0.5,-4.5,17.6,58,0.94,6.27,0.1,+0.62,0,0,+0.62,2.4,0,0,0,0,0
14,2388,17Q3,66,9.98,13.45,9.76,11.1,+1.13,+11.3,37,94.5,1.4,10.6,0.16,,,,,2.3,0,0,0,0,0
15,2388,17Q2,61,11.25,11.35,9.95,9.97,-1.28,-11.4,12.4,26.2,0.43,2.73,0.04,-0.68,0,+0.04,-0.64,2.7,0,0,0,0,0
16,2388,17Q1,57,10,12.2,10,11.25,+1.15,+11.4,21.8,42.9,0.75,4.84,0.08,+0.37,-0.07,0,+0.3,2.8,0,0,0,0,0
17,2388,16Q4,64,10.9,12.45,9.8,10.1,-0.7,-6.48,24.5,32.2,0.5,3.5,0.05,-0.1,+0.07,0,-0.03,2.8,0,0,0,0,0
18,2388,16Q3,62,12.6,13.65,10.5,10.8,-1.75,-13.9,25.1,48.3,0.78,5.79,0.09,-0.25,0,0,-0.25,2.8,0,0,0,0,0
19,2388,16Q2,61,10.3,16.25,9.03,12.55,+2.45,+24.3,71.5,160,2.6,21.4,0.35,+0.78,0,0,+0.78,2.8,0,0,0,0,0
20,2388,16Q1,57,9.1,11,8.42,10.1,+1.3,+14.8,29.3,13.9,0.24,1.33,0.02,+0.01,0,0,+0.01,2.7,0,0,0,0,0
