ID,sid,季度,股本(億),財報評分,季度股價(元)收盤,季度股價(元)平均,季度股價(元)漲跌,季度股價(元)漲跌(%),獲利金額(億)營業收入,獲利金額(億)營業毛利,獲利金額(億)營業利益,獲利金額(億)業外損益,獲利金額(億)稅後淨利,獲利率(%)營業毛利,獲利率(%)營業利益,獲利率(%)業外損益,獲利率(%)稅後淨利,單季ROE(%),年估ROE(%),單季ROA(%),年估ROA(%),EPS(元)稅後EPS,EPS(元)年增(元),BPS(元)
0,2434,2021Q1,-,-,26.8,26.9,-0.1,-0.4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,2434,2020Q4,-,-,26.9,26.5,+0.1,+0.4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,2434,2020Q3,1.7,38,26.8,9.74,+20.79,+346,0.34,0.07,-0.14,0.01,-0.13,19.1,-40.6,3.32,-37.5,-8.34,-33.4,-1.83,-7.3,-0.76,+0.18,9.13
3,2434,2020Q2,7.06,36,6.01,6.02,+0.52,+9.5,0.33,0.15,-0.07,-0.06,-0.13,44.1,-21.7,-18.9,-40.6,-12.6,-50.5,-2.14,-8.55,-0.19,+0.55,1.4
4,2434,2020Q1,7.06,30,5.49,6.67,-1.21,-18.1,0.32,-0.12,-0.34,0.15,-0.2,-38.4,-107,46.9,-64.3,-16.4,-65.7,-3.18,-12.7,-0.29,+0.17,1.61
5,2434,2019Q4,7.06,26,6.7,6.36,+0.7,+11.7,0.39,-0.75,-0.88,-0.01,-0.89,-190,-224,-2.11,-225,-48.9,-196,-12.9,-51.4,-1.26,-0.34,1.9
6,2434,2019Q3,7.06,23,6,5.88,-0.88,-12.8,0.39,-0.38,-0.63,-0.03,-0.66,-96.5,-161,-6.4,-169,-25.1,-100,-8.61,-34.4,-0.94,-0.36,3.23
7,2434,2019Q2,7.06,28,6.88,7.38,-1.82,-20.9,0.47,-0.34,-0.51,0,-0.52,-72,-108,0.71,-111,-15.9,-63.5,-6.36,-25.4,-0.74,-0.07,4.24
8,2434,2019Q1,7.06,23,8.7,9.01,-0.73,-7.7,0.4,-0.16,-0.33,0,-0.33,-39.1,-83,-0.79,-82,-8.87,-35.5,-3.88,-15.5,-0.46,-0.07,5.01
9,2434,2018Q4,7.06,30,9.43,10,-1.37,-12.7,0.61,-0.46,-0.64,0,-0.65,-76.2,-106,0.76,-107,-15.7,-62.7,-7.13,-28.5,-0.92,-0.19,5.45
10,2434,2018Q3,7.06,19,10.8,12.6,-4.8,-30.8,0.7,-0.14,-0.31,-0.12,-0.41,-20.4,-43.5,-16.4,-58.1,-8.82,-35.3,-4.23,-16.9,-0.58,-0.42,6.27
11,2434,2018Q2,7.06,21,15.6,16,-1.05,-6.3,0.87,-0.28,-0.47,-0.01,-0.47,-31.9,-54.2,-0.85,-54.7,-9.27,-37.1,-4.71,-18.8,-0.67,-0.45,6.89
12,2434,2018Q1,7.06,28,16.65,13.8,+7.36,+79.2,0.87,-0.18,-0.32,0.04,-0.28,-21,-36.3,4.69,-31.7,-5.05,-20.2,-2.72,-10.9,-0.39,+0.34,7.56
13,2434,2017Q4,7.06,21,9.29,10.3,-0.86,-8.5,0.77,-0.57,-0.48,-0.03,-0.52,-73.4,-62.5,-3.6,-66.9,-8.72,-34.9,-4.99,-20,-0.73,-0.85,7.94
14,2434,2017Q3,7.06,26,10.15,6.19,+3.93,+63.2,0.65,-0.13,-0.11,0.05,-0.11,-20.3,-16.1,7.18,-17,-1.78,-7.12,-1.06,-4.23,-0.16,+0.17,8.8
15,2434,2017Q2,11.1,26,6.22,6.44,+0.37,+6.3,0.73,-0.04,-0.22,0.06,-0.16,-4.92,-30.6,8.24,-21.2,-2.44,-9.75,-1.49,-5.97,-0.22,+0.22,5.69
16,2434,2017Q1,11.1,23,5.85,5.87,+0.55,+10.4,0.46,-0.18,-0.34,-0.17,-0.51,-38.7,-73,-37.5,-111,-7.62,-30.5,-4.84,-19.3,-0.73,-0.25,5.8
17,2434,2016Q4,11.1,53,5.3,5.95,-1.2,-18.5,0.65,0.25,0.12,-0.05,0.13,38.5,19.2,-7.56,20.2,1.87,7.47,1.23,4.91,0.12,+0.3,6.35
18,2434,2016Q3,11.1,26,6.5,7.1,-1.24,-16,0.58,-0.1,-0.3,-0.1,-0.37,-17,-50.6,-17.9,-63,-5.14,-20.5,-3.44,-13.8,-0.33,+1.25,6.29
19,2434,2016Q2,11.1,30,7.74,7.81,+0.52,+7.2,0.54,-0.03,-0.45,-0.04,-0.49,-4.99,-83.9,-7.82,-91.7,-6.42,-25.7,-4.37,-17.5,-0.44,0,6.68
20,2434,2016Q1,11.1,26,7.22,6.41,+1.42,+24.5,0.51,-0.24,-0.43,-0.07,-0.53,-46.9,-84,-14.2,-104,-6.5,-26,-4.54,-18.1,-0.48,-0.08,7.16
21,2434,2015Q4,11.1,32,5.8,5.84,+0.02,+0.3,0.59,-0.35,-0.66,0.41,-0.2,-58.5,-111,68.4,-33.2,-2.3,-9.2,-1.59,-6.36,-0.18,-0.99,7.66
22,2434,2015Q3,11.1,34,5.78,6,-2.23,-27.8,0.56,-1.72,-1.96,0.2,-1.75,-306,-348,35.3,-311,-18.4,-73.5,-12.8,-51.2,-1.58,-1.17,7.84
