sid,單季,負債總額,負債總額百分比,每股淨值(元),股東權益總額
2454,2020Q3,1494,30.4,213.82,3413
2454,2020Q2,1591,33,203.43,3238
2454,2020Q1,1393,29.8,206.34,3285
2454,2019Q4,1443,31.5,197.66,3144
2454,2019Q3,1411,31.1,196.75,3128
2454,2019Q2,1635,36.2,181.69,2885
2454,2019Q1,1314,31.4,180.28,2873
2454,2018Q4,1285,31.9,172.35,2743
2454,2018Q3,1508,35.7,170.79,2719
2454,2018Q2,1828,41.3,164.5,2599
2454,2018Q1,1398,33.8,173.23,2740
2454,2017Q4,1340,33.9,165.1,2612
2454,2017Q3,1346,34.3,162.92,2579
2454,2017Q2,1525,37.8,157.15,2508
2454,2017Q1,1359,34.8,160.17,2550
2454,2016Q4,1240,33.5,155.48,2467
2454,2016Q3,1381,37.5,145.03,2301
2454,2016Q2,1528,40.6,142.48,2236
2454,2016Q1,1072,30,155.38,2498
2454,2015Q4,1042,29.7,153.75,2471
2454,2015Q3,1103,31.8,151.02,2371
2454,2015Q2,1459,39.3,143.61,2254
2454,2015Q1,1102,30.3,161.88,2536
2454,2014Q4,1035,29.5,158.07,2476
2454,2014Q3,1041,31.1,147.64,2310
2454,2014Q2,1095,33.8,137.08,2143
2454,2014Q1,701.4,23.5,146.07,2284
2454,2013Q4,632.8,24.5,145.55,1954
2454,2013Q3,531,22.3,137.93,1851
2454,2013Q2,590,24.9,132.91,1784
2454,2013Q1,371.9,16.9,135.99,1825
2454,2012Q4,349.5,16.6,130.99,1755
2454,2012Q3,387.3,18.3,128.82,1726
2454,2012Q2,497.6,30.9,97.94,1114
2454,2012Q1,326.5,21.7,103.28,1175
2454,2011Q4,314.1,21.3,102.02,1163
2454,2011Q3,249,19.9,92.66,1005
2454,2011Q2,477.2,33.2,87.8,959.3
2454,2011Q1,243.1,17.4,105.72,1155
2454,2010Q4,263.2,19.1,102.29,1117
2454,2010Q3,275.6,19.9,101.5,1109
2454,2010Q2,597.1,36.3,96.63,1046
2454,2010Q1,318.4,21,110.57,1197
2454,2009Q4,297,21.4,100.59,1089
2454,2009Q3,273,21.4,92.59,1002
2454,2009Q2,388.6,30.5,83.16,886.3
2454,2009Q1,227.2,20.2,83.94,895.8
2454,2008Q4,173.2,17.5,76.6,817.6
2454,2008Q3,214.2,21.5,73.42,783.6
2454,2008Q2,384.5,35.3,68.16,705.5
2454,2008Q1,132.4,13,85.97,889.5
2454,2007Q4,128,12.9,83.18,860.7
2454,2007Q2,284.7,29.8,69.54,669.1
2454,2006Q4,92.19,12,70.27,675.3
2454,2006Q2,196.7,26.3,60.93,551.3
2454,2005Q4,125.8,18.5,61.52,554.5
2454,2005Q2,164.4,27.6,53.71,431.4
2454,2004Q4,50.16,10.5,55.86,427.9
2454,2003Q4,60.48,14.4,56.16,360.4
2454,2002Q4,66.15,21.7,51.79,238.5
2454,2001Q4,47.52,26.6,41.66,131.1
2454,2000Q4,26.11,28.3,30.49,66.1
