ID,sid,季度,股本(億),財報評分,季度股價(元)收盤,季度股價(元)平均,季度股價(元)漲跌,季度股價(元)漲跌(%),獲利金額(億)營業收入,獲利金額(億)營業毛利,獲利金額(億)營業利益,獲利金額(億)業外損益,獲利金額(億)稅後淨利,獲利率(%)營業毛利,獲利率(%)營業利益,獲利率(%)業外損益,獲利率(%)稅後淨利,單季ROE(%),年估ROE(%),單季ROA(%),年估ROA(%),EPS(元)稅後EPS,EPS(元)年增(元),BPS(元)
0,2891,2021Q1,-,-,20,19.7,+0.3,+1.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,2891,2020Q4,-,-,19.7,19,+1.3,+7.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,2891,2020Q3,1950,56,18.4,19.3,-1.95,-9.6,497,-,-,-,169,-,-,-,34.1,4.62,18.5,0.26,1.05,0.84,-0.07,18.62
3,2891,2020Q2,1950,38,20.35,19.7,+2.45,+13.7,477,-,-,-,70.2,-,-,-,14.7,2,7.98,0.11,0.44,0.34,-0.1,18.08
4,2891,2020Q1,1950,44,17.9,21.4,-4.5,-20.1,629,-,-,-,122,-,-,-,19.3,3.36,13.5,0.19,0.77,0.62,+0.05,17.1
5,2891,2019Q4,1950,34,22.4,21.7,+1.8,+8.7,663,-,-,-,47.1,-,-,-,7.1,1.24,4.97,0.07,0.3,0.24,-0.01,19.06
6,2891,2019Q3,1950,50,20.6,20.7,-0.75,-3.5,696,-,-,-,178,-,-,-,25.5,4.81,19.2,0.28,1.14,0.91,+0.43,18.83
7,2891,2019Q2,1950,44,21.35,20.9,+0.9,+4.4,484,-,-,-,93.2,-,-,-,19.3,2.61,10.5,0.15,0.61,0.44,-0.06,18.14
8,2891,2019Q1,1950,41,20.45,20.5,+0.25,+1.2,804,-,-,-,111,-,-,-,13.8,3.33,13.3,0.19,0.75,0.57,-0.06,17.67
9,2891,2018Q4,1950,34,20.2,20.8,-2.8,-12.2,850,-,-,-,47.9,-,-,-,5.64,1.51,6.04,0.08,0.33,0.25,-0.07,15.89
10,2891,2018Q3,1950,44,23,21.3,+1.05,+4.8,843,-,-,-,93.4,-,-,-,11.1,2.96,11.8,0.17,0.67,0.48,-0.12,16.08
11,2891,2018Q2,1950,44,21.95,21.7,+0.75,+3.5,690,-,-,-,96.7,-,-,-,14,3.02,12.1,0.18,0.71,0.5,+0.03,15.77
12,2891,2018Q1,1950,41,21.2,21.3,+0.7,+3.4,761,-,-,-,122,-,-,-,16.1,3.77,15.1,0.23,0.91,0.63,+0.11,16.51
13,2891,2017Q4,1950,28,20.5,19.8,+1.4,+7.3,914,-,-,-,62,-,-,-,6.78,2.02,8.07,0.12,0.47,0.32,+0.08,16.2
14,2891,2017Q3,1950,41,19.1,19.5,-0.85,-4.3,887,-,-,-,116,-,-,-,13.1,4.02,16.1,0.23,0.9,0.6,+0.1,15.09
15,2891,2017Q2,1950,41,19.95,19.1,+1.2,+6.4,758,-,-,-,91.8,-,-,-,12.1,3.2,12.8,0.18,0.74,0.47,+0.04,14.57
16,2891,2017Q1,1950,38,18.75,18.4,+1.1,+6.2,938,-,-,-,102,-,-,-,10.9,3.57,14.3,0.21,0.84,0.52,+0.16,14.91
17,2891,2016Q4,1950,34,17.65,17.4,-0.55,-3,841,-,-,-,46,-,-,-,5.47,1.61,6.44,0.09,0.38,0.24,-0.38,14.49
18,2891,2016Q3,1805,41,18.2,18.1,+1.35,+8,847,-,-,-,90.3,-,-,-,10.7,3.16,12.7,0.19,0.75,0.5,+0.03,16.02
19,2891,2016Q2,1805,38,16.85,16.5,-0.15,-0.9,754,-,-,-,77.4,-,-,-,10.3,2.73,10.9,0.16,0.66,0.43,-0.02,15.61
20,2891,2016Q1,1805,34,17,16,+0.1,+0.6,756,-,-,-,65.7,-,-,-,8.69,2.33,9.32,0.14,0.57,0.36,-0.23,15.87
